boundary_index	chrom	boundary_end	index	num_ctcf	span	boundary_start	strand	start	end	seq_id	forward_scan	reverse_scan	scan_strand	mismatch	rf_diff
3270	chr13	23770000	19352	4	23764587-23764606	23760000	-	23764587	23764606	5556	9.28557277563607	9.086697636281908	+	1	0.19887513935416123
3311	chr13	44300000	19592	7	44295517-44295536	44290000	+	44295517	44295536	5634	9.132781702995164	9.572736533377693	-	1	0.43995483038252914
3324	chr13	49760000	19672	3	49757470-49757489	49750000	+	49757470	49757489	5659	9.509056403868998	9.698011354819208	-	1	0.18895495095020998
3361	chr13	73080000	19925	1	73070689-73070708	73070000	+	73070689	73070708	5753	9.451821437952365	9.61710537523295	-	1	0.16528393728058433
3486	chr14	28520000	20598	7	28519411-28519430	28510000	+	28519411	28519430	5930	9.371062368585804	9.577647464821137	-	1	0.20658509623533305
3523	chr14	55550000	20817	7	55545373-55545392	55540000	+	55545373	55545392	5990	9.266308609142861	9.370254596688627	-	1	0.10394598754576556
3767	chr15	74760000	22117	4	74759468-74759487	74750000	+	74759468	74759487	6349	9.199394385460545	9.331506978871916	-	1	0.13211259341137094
3800	chr15	88300000	22408	4	88295524-88295543	88290000	-	88295524	88295543	6468	9.679678176901646	9.673681665025757	+	1	0.005996511875888899
3826	chr15	100460000	22578	6	100456055-100456074	100450000	-	100456055	100456074	6508	9.477926479123752	9.245367358207654	+	1	0.23255912091609865
3832	chr16	3750000	22646	6	3743928-3743947	3740000	-	3743928	3743947	6529	9.968786315197658	9.87150510300047	+	1	0.09728121219718844
3939	chr16	56160000	23267	4	56153653-56153672	56150000	+	56153653	56153672	6710	9.24396983238791	9.299747396693915	-	1	0.055777564306005445
4187	chr18	5160000	24680	7	5157953-5157972	5150000	-	5157953	5157972	7088	9.815664521143617	9.451330312487668	+	1	0.3643342086559489
