boundary_index	chrom	boundary_end	index	num_ctcf	span	boundary_start	strand	start	end
14	chr1	11660000	91	2	11657891-11657910	11650000	+	11657891	11657910
15	chr1	12850000	96	6	12843776-12843795	12840000	-	12843776	12843795
15	chr1	12850000	97	6	12844004-12844023	12840000	+	12844004	12844023
15	chr1	12850000	98	6	12844329-12844348	12840000	-	12844329	12844348
17	chr1	14120000	106	4	14110186-14110205	14110000	-	14110186	14110205
18	chr1	14730000	112	2	14727560-14727579	14720000	-	14727560	14727579
18	chr1	14730000	113	2	14729230-14729249	14720000	-	14729230	14729249
19	chr1	15000000	116	2	14995520-14995539	14990000	+	14995520	14995539
19	chr1	15000000	117	2	14998395-14998414	14990000	-	14998395	14998414
20	chr1	15640000	120	3	15632096-15632115	15630000	+	15632096	15632115
20	chr1	15640000	121	3	15637465-15637484	15630000	-	15637465	15637484
21	chr1	16100000	126	7	16092454-16092473	16090000	+	16092454	16092473
23	chr1	17150000	138	5	17144488-17144507	17140000	-	17144488	17144507
26	chr1	19090000	152	5	19084608-19084627	19080000	-	19084608	19084627
26	chr1	19090000	153	5	19086935-19086954	19080000	-	19086935	19086954
28	chr1	20300000	164	3	20298719-20298738	20290000	-	20298719	20298738
30	chr1	21420000	169	8	21411386-21411405	21410000	+	21411386	21411405
30	chr1	21420000	172	8	21414847-21414866	21410000	-	21414847	21414866
31	chr1	21960000	179	2	21950776-21950795	21950000	-	21950776	21950795
36	chr1	24290000	207	3	24286577-24286596	24280000	-	24286577	24286596
37	chr1	24690000	213	5	24684249-24684268	24680000	+	24684249	24684268
38	chr1	25530000	219	3	25527135-25527154	25520000	+	25527135	25527154
44	chr1	28800000	244	1	28793234-28793253	28790000	+	28793234	28793253
46	chr1	30700000	250	3	30697323-30697342	30690000	+	30697323	30697342
49	chr1	32170000	258	1	32160894-32160913	32160000	-	32160894	32160913
50	chr1	32720000	260	2	32712227-32712246	32710000	-	32712227	32712246
52	chr1	34460000	270	7	34453048-34453067	34450000	+	34453048	34453067
52	chr1	34460000	271	7	34456487-34456506	34450000	-	34456487	34456506
52	chr1	34460000	274	7	34459879-34459898	34450000	+	34459879	34459898
53	chr1	34890000	277	2	34883192-34883211	34880000	-	34883192	34883211
55	chr1	35720000	285	4	35713888-35713907	35710000	+	35713888	35713907
55	chr1	35720000	286	4	35716130-35716149	35710000	-	35716130	35716149
56	chr1	36140000	291	4	36133098-36133117	36130000	+	36133098	36133117
57	chr1	36780000	297	3	36774637-36774656	36770000	+	36774637	36774656
57	chr1	36780000	299	3	36778137-36778156	36770000	-	36778137	36778156
58	chr1	37260000	302	8	37250510-37250529	37250000	+	37250510	37250529
58	chr1	37260000	303	8	37250857-37250876	37250000	-	37250857	37250876
58	chr1	37260000	306	8	37255135-37255154	37250000	+	37255135	37255154
58	chr1	37260000	307	8	37258139-37258158	37250000	+	37258139	37258158
58	chr1	37260000	309	8	37259328-37259347	37250000	-	37259328	37259347
59	chr1	37660000	315	6	37656131-37656150	37650000	-	37656131	37656150
59	chr1	37660000	317	6	37659824-37659843	37650000	-	37659824	37659843
61	chr1	38140000	326	2	38130121-38130140	38130000	-	38130121	38130140
61	chr1	38140000	327	2	38132329-38132348	38130000	+	38132329	38132348
62	chr1	38790000	330	5	38780239-38780258	38780000	+	38780239	38780258
62	chr1	38790000	331	5	38785332-38785351	38780000	+	38785332	38785351
62	chr1	38790000	332	5	38787633-38787652	38780000	-	38787633	38787652
62	chr1	38790000	333	5	38789134-38789153	38780000	+	38789134	38789153
63	chr1	39000000	338	3	38999284-38999303	38990000	+	38999284	38999303
64	chr1	39370000	342	5	39360518-39360537	39360000	+	39360518	39360537
64	chr1	39370000	343	5	39362330-39362349	39360000	+	39362330	39362349
64	chr1	39370000	344	5	39364659-39364678	39360000	+	39364659	39364678
64	chr1	39370000	345	5	39365142-39365161	39360000	+	39365142	39365161
64	chr1	39370000	346	5	39368956-39368975	39360000	+	39368956	39368975
65	chr1	39550000	350	4	39544586-39544605	39540000	-	39544586	39544605
65	chr1	39550000	352	4	39547425-39547444	39540000	+	39547425	39547444
66	chr1	40000000	355	3	39990443-39990462	39990000	+	39990443	39990462
66	chr1	40000000	357	3	39999917-39999936	39990000	-	39999917	39999936
67	chr1	40860000	360	4	40854800-40854819	40850000	-	40854800	40854819
67	chr1	40860000	361	4	40856178-40856197	40850000	-	40856178	40856197
67	chr1	40860000	362	4	40857938-40857957	40850000	-	40857938	40857957
68	chr1	41150000	366	1	41149884-41149903	41140000	-	41149884	41149903
70	chr1	42710000	369	2	42706885-42706904	42700000	+	42706885	42706904
70	chr1	42710000	370	2	42707159-42707178	42700000	+	42707159	42707178
74	chr1	44200000	387	4	44198541-44198560	44190000	+	44198541	44198560
74	chr1	44200000	388	4	44199081-44199100	44190000	+	44199081	44199100
75	chr1	44750000	391	3	44741453-44741472	44740000	-	44741453	44741472
75	chr1	44750000	392	3	44745863-44745882	44740000	+	44745863	44745882
78	chr1	46100000	399	1	46097337-46097356	46090000	+	46097337	46097356
80	chr1	46770000	403	4	46760030-46760049	46760000	+	46760030	46760049
80	chr1	46770000	404	4	46769142-46769161	46760000	-	46769142	46769161
86	chr1	50930000	432	5	50925538-50925557	50920000	-	50925538	50925557
86	chr1	50930000	433	5	50926482-50926501	50920000	-	50926482	50926501
86	chr1	50930000	434	5	50927230-50927249	50920000	+	50927230	50927249
88	chr1	51640000	439	2	51639053-51639072	51630000	+	51639053	51639072
88	chr1	51640000	440	2	51639162-51639181	51630000	-	51639162	51639181
89	chr1	52130000	444	2	52129240-52129259	52120000	+	52129240	52129259
90	chr1	52640000	448	6	52630617-52630636	52630000	-	52630617	52630636
90	chr1	52640000	449	6	52635530-52635549	52630000	+	52635530	52635549
91	chr1	53040000	455	6	53032755-53032774	53030000	-	53032755	53032774
91	chr1	53040000	456	6	53033229-53033248	53030000	-	53033229	53033248
91	chr1	53040000	457	6	53033377-53033396	53030000	+	53033377	53033396
91	chr1	53040000	458	6	53033499-53033518	53030000	+	53033499	53033518
91	chr1	53040000	459	6	53035053-53035072	53030000	+	53035053	53035072
93	chr1	53700000	471	4	53698941-53698960	53690000	+	53698941	53698960
94	chr1	53930000	475	3	53926430-53926449	53920000	-	53926430	53926449
94	chr1	53930000	476	3	53927795-53927814	53920000	-	53927795	53927814
95	chr1	54390000	479	4	54381456-54381475	54380000	-	54381456	54381475
96	chr1	54990000	486	5	54984449-54984468	54980000	+	54984449	54984468
96	chr1	54990000	487	5	54985285-54985304	54980000	+	54985285	54985304
96	chr1	54990000	488	5	54987161-54987180	54980000	-	54987161	54987180
96	chr1	54990000	489	5	54989672-54989691	54980000	+	54989672	54989691
98	chr1	55410000	502	5	55401241-55401260	55400000	-	55401241	55401260
98	chr1	55410000	504	5	55404542-55404561	55400000	+	55404542	55404561
99	chr1	55890000	509	1	55886566-55886585	55880000	+	55886566	55886585
100	chr1	56990000	511	5	56980330-56980349	56980000	-	56980330	56980349
100	chr1	56990000	512	5	56984315-56984334	56980000	+	56984315	56984334
100	chr1	56990000	513	5	56985123-56985142	56980000	-	56985123	56985142
100	chr1	56990000	515	5	56987654-56987673	56980000	+	56987654	56987673
101	chr1	57410000	519	3	57406326-57406345	57400000	+	57406326	57406345
101	chr1	57410000	520	3	57406555-57406574	57400000	+	57406555	57406574
102	chr1	58000000	528	6	57997802-57997821	57990000	-	57997802	57997821
103	chr1	58390000	532	3	58382109-58382128	58380000	+	58382109	58382128
104	chr1	58990000	537	4	58984484-58984503	58980000	-	58984484	58984503
104	chr1	58990000	538	4	58984819-58984838	58980000	-	58984819	58984838
104	chr1	58990000	539	4	58987583-58987602	58980000	+	58987583	58987602
105	chr1	59250000	547	8	59244855-59244874	59240000	+	59244855	59244874
108	chr1	60970000	563	2	60961297-60961316	60960000	-	60961297	60961316
109	chr1	61780000	567	4	61771420-61771439	61770000	-	61771420	61771439
109	chr1	61780000	568	4	61774596-61774615	61770000	-	61774596	61774615
110	chr1	62710000	573	7	62701200-62701219	62700000	-	62701200	62701219
110	chr1	62710000	574	7	62701353-62701372	62700000	-	62701353	62701372
110	chr1	62710000	575	7	62706652-62706671	62700000	-	62706652	62706671
110	chr1	62710000	576	7	62707787-62707806	62700000	-	62707787	62707806
110	chr1	62710000	577	7	62707902-62707921	62700000	+	62707902	62707921
110	chr1	62710000	578	7	62708644-62708663	62700000	-	62708644	62708663
110	chr1	62710000	579	7	62709521-62709540	62700000	-	62709521	62709540
111	chr1	63050000	585	5	63042680-63042699	63040000	+	63042680	63042699
113	chr1	64530000	590	1	64525518-64525537	64520000	+	64525518	64525537
117	chr1	66690000	599	1	66688892-66688911	66680000	+	66688892	66688911
118	chr1	67190000	601	1	67181366-67181385	67180000	+	67181366	67181385
119	chr1	67550000	603	1	67548191-67548210	67540000	+	67548191	67548210
121	chr1	68460000	607	1	68453076-68453095	68450000	-	68453076	68453095
122	chr1	69170000	611	5	69165358-69165377	69160000	+	69165358	69165377
122	chr1	69170000	613	5	69166603-69166622	69160000	+	69166603	69166622
124	chr1	70250000	624	4	70248077-70248096	70240000	+	70248077	70248096
125	chr1	70760000	628	2	70750618-70750637	70750000	+	70750618	70750637
125	chr1	70760000	629	2	70757010-70757029	70750000	+	70757010	70757029
126	chr1	71110000	632	2	71102841-71102860	71100000	-	71102841	71102860
127	chr1	71550000	640	5	71549935-71549954	71540000	+	71549935	71549954
128	chr1	72160000	651	10	72158618-72158637	72150000	-	72158618	72158637
128	chr1	72160000	652	10	72158937-72158956	72150000	+	72158937	72158956
129	chr1	72710000	655	5	72701411-72701430	72700000	-	72701411	72701430
130	chr1	72880000	662	7	72870007-72870026	72870000	-	72870007	72870026
130	chr1	72880000	663	7	72873886-72873905	72870000	+	72873886	72873905
130	chr1	72880000	664	7	72874105-72874124	72870000	+	72874105	72874124
130	chr1	72880000	665	7	72876255-72876274	72870000	+	72876255	72876274
130	chr1	72880000	666	7	72876487-72876506	72870000	+	72876487	72876506
130	chr1	72880000	667	7	72876849-72876868	72870000	-	72876849	72876868
131	chr1	73290000	671	2	73283534-73283553	73280000	+	73283534	73283553
132	chr1	73870000	677	6	73863243-73863262	73860000	-	73863243	73863262
133	chr1	74190000	683	6	74180862-74180881	74180000	-	74180862	74180881
134	chr1	74450000	693	6	74448655-74448674	74440000	-	74448655	74448674
135	chr1	75320000	700	8	75312309-75312328	75310000	+	75312309	75312328
135	chr1	75320000	701	8	75312561-75312580	75310000	+	75312561	75312580
135	chr1	75320000	702	8	75315013-75315032	75310000	-	75315013	75315032
135	chr1	75320000	703	8	75315311-75315330	75310000	-	75315311	75315330
135	chr1	75320000	704	8	75315533-75315552	75310000	+	75315533	75315552
135	chr1	75320000	705	8	75316593-75316612	75310000	+	75316593	75316612
135	chr1	75320000	706	8	75317094-75317113	75310000	+	75317094	75317113
137	chr1	76700000	714	1	76695995-76696014	76690000	-	76695995	76696014
138	chr1	77540000	716	2	77533814-77533833	77530000	-	77533814	77533833
138	chr1	77540000	717	2	77539831-77539850	77530000	-	77539831	77539850
139	chr1	77940000	721	4	77931229-77931248	77930000	-	77931229	77931248
139	chr1	77940000	722	4	77935053-77935072	77930000	+	77935053	77935072
140	chr1	78200000	726	6	78190021-78190040	78190000	+	78190021	78190040
140	chr1	78200000	727	6	78190369-78190388	78190000	-	78190369	78190388
140	chr1	78200000	728	6	78194011-78194030	78190000	+	78194011	78194030
140	chr1	78200000	729	6	78195388-78195407	78190000	-	78195388	78195407
140	chr1	78200000	730	6	78195561-78195580	78190000	-	78195561	78195580
140	chr1	78200000	731	6	78198562-78198581	78190000	-	78198562	78198581
142	chr1	78730000	740	5	78724639-78724658	78720000	+	78724639	78724658
142	chr1	78730000	741	5	78726005-78726024	78720000	+	78726005	78726024
142	chr1	78730000	742	5	78726372-78726391	78720000	-	78726372	78726391
143	chr1	79770000	745	4	79760278-79760297	79760000	-	79760278	79760297
144	chr1	80180000	753	3	80178189-80178208	80170000	-	80178189	80178208
145	chr1	80780000	757	3	80778647-80778666	80770000	+	80778647	80778666
145	chr1	80780000	758	3	80778824-80778843	80770000	+	80778824	80778843
146	chr1	81300000	761	4	81293985-81294004	81290000	-	81293985	81294004
146	chr1	81300000	762	4	81296313-81296332	81290000	-	81296313	81296332
146	chr1	81300000	763	4	81296766-81296785	81290000	+	81296766	81296785
147	chr1	82490000	767	5	82480888-82480907	82480000	+	82480888	82480907
147	chr1	82490000	769	5	82485166-82485185	82480000	-	82485166	82485185
147	chr1	82490000	770	5	82486660-82486679	82480000	+	82486660	82486679
147	chr1	82490000	771	5	82487529-82487548	82480000	-	82487529	82487548
148	chr1	82770000	774	3	82761750-82761769	82760000	-	82761750	82761769
148	chr1	82770000	775	3	82761985-82762004	82760000	-	82761985	82762004
150	chr1	83730000	780	1	83727306-83727325	83720000	+	83727306	83727325
152	chr1	84700000	784	7	84693985-84694004	84690000	-	84693985	84694004
152	chr1	84700000	785	7	84694206-84694225	84690000	+	84694206	84694225
152	chr1	84700000	788	7	84697198-84697217	84690000	-	84697198	84697217
152	chr1	84700000	789	7	84697342-84697361	84690000	+	84697342	84697361
152	chr1	84700000	790	7	84697443-84697462	84690000	-	84697443	84697462
153	chr1	85850000	793	3	85842440-85842459	85840000	-	85842440	85842459
153	chr1	85850000	794	3	85845211-85845230	85840000	+	85845211	85845230
153	chr1	85850000	795	3	85849570-85849589	85840000	-	85849570	85849589
154	chr1	86060000	799	4	86056421-86056440	86050000	+	86056421	86056440
154	chr1	86060000	801	4	86059625-86059644	86050000	+	86059625	86059644
155	chr1	86360000	804	4	86353210-86353229	86350000	-	86353210	86353229
155	chr1	86360000	806	4	86357216-86357235	86350000	+	86357216	86357235
155	chr1	86360000	807	4	86359992-86360011	86350000	-	86359992	86360011
156	chr1	86600000	813	6	86596642-86596661	86590000	-	86596642	86596661
156	chr1	86600000	815	6	86598680-86598699	86590000	+	86598680	86598699
157	chr1	87080000	818	11	87070112-87070131	87070000	+	87070112	87070131
157	chr1	87080000	819	11	87070895-87070914	87070000	-	87070895	87070914
157	chr1	87080000	822	11	87072251-87072270	87070000	-	87072251	87072270
158	chr1	87450000	832	3	87447668-87447687	87440000	+	87447668	87447687
158	chr1	87450000	833	3	87449170-87449189	87440000	-	87449170	87449189
160	chr1	88050000	843	6	88044374-88044393	88040000	+	88044374	88044393
160	chr1	88050000	846	6	88048604-88048623	88040000	+	88048604	88048623
161	chr1	88310000	849	2	88301804-88301823	88300000	-	88301804	88301823
161	chr1	88310000	850	2	88308305-88308324	88300000	-	88308305	88308324
162	chr1	88750000	853	7	88742574-88742593	88740000	-	88742574	88742593
162	chr1	88750000	854	7	88743423-88743442	88740000	+	88743423	88743442
162	chr1	88750000	858	7	88746708-88746727	88740000	+	88746708	88746727
162	chr1	88750000	859	7	88748076-88748095	88740000	+	88748076	88748095
164	chr1	89640000	866	6	89631938-89631957	89630000	-	89631938	89631957
164	chr1	89640000	867	6	89633204-89633223	89630000	+	89633204	89633223
164	chr1	89640000	868	6	89634250-89634269	89630000	-	89634250	89634269
164	chr1	89640000	869	6	89634438-89634457	89630000	+	89634438	89634457
164	chr1	89640000	870	6	89637281-89637300	89630000	+	89637281	89637300
165	chr1	90010000	874	3	90004496-90004515	90000000	+	90004496	90004515
165	chr1	90010000	875	3	90007087-90007106	90000000	-	90007087	90007106
165	chr1	90010000	876	3	90008325-90008344	90000000	+	90008325	90008344
166	chr1	90610000	879	8	90602067-90602086	90600000	+	90602067	90602086
166	chr1	90610000	880	8	90602736-90602755	90600000	-	90602736	90602755
166	chr1	90610000	884	8	90607597-90607616	90600000	+	90607597	90607616
166	chr1	90610000	885	8	90607923-90607942	90600000	-	90607923	90607942
166	chr1	90610000	886	8	90608112-90608131	90600000	-	90608112	90608131
167	chr1	90900000	889	2	90892931-90892950	90890000	+	90892931	90892950
168	chr1	91540000	895	7	91533010-91533029	91530000	+	91533010	91533029
168	chr1	91540000	896	7	91533619-91533638	91530000	+	91533619	91533638
168	chr1	91540000	898	7	91534880-91534899	91530000	+	91534880	91534899
169	chr1	91920000	902	6	91912317-91912336	91910000	-	91912317	91912336
169	chr1	91920000	903	6	91912404-91912423	91910000	-	91912404	91912423
169	chr1	91920000	904	6	91914009-91914028	91910000	+	91914009	91914028
169	chr1	91920000	905	6	91916682-91916701	91910000	+	91916682	91916701
169	chr1	91920000	906	6	91917943-91917962	91910000	+	91917943	91917962
169	chr1	91920000	907	6	91918559-91918578	91910000	+	91918559	91918578
170	chr1	92470000	910	2	92462662-92462681	92460000	+	92462662	92462681
170	chr1	92470000	911	2	92466740-92466759	92460000	-	92466740	92466759
171	chr1	92640000	915	6	92634247-92634266	92630000	+	92634247	92634266
171	chr1	92640000	916	6	92635230-92635249	92630000	-	92635230	92635249
171	chr1	92640000	918	6	92637888-92637907	92630000	-	92637888	92637907
171	chr1	92640000	919	6	92638505-92638524	92630000	-	92638505	92638524
172	chr1	92920000	922	8	92911090-92911109	92910000	-	92911090	92911109
172	chr1	92920000	923	8	92911587-92911606	92910000	+	92911587	92911606
172	chr1	92920000	924	8	92912474-92912493	92910000	-	92912474	92912493
172	chr1	92920000	925	8	92912929-92912948	92910000	+	92912929	92912948
172	chr1	92920000	926	8	92913188-92913207	92910000	+	92913188	92913207
172	chr1	92920000	928	8	92916735-92916754	92910000	-	92916735	92916754
172	chr1	92920000	929	8	92917759-92917778	92910000	-	92917759	92917778
173	chr1	93510000	934	4	93506254-93506273	93500000	+	93506254	93506273
173	chr1	93510000	935	4	93507220-93507239	93500000	-	93507220	93507239
177	chr1	96810000	953	5	96801831-96801850	96800000	-	96801831	96801850
179	chr1	97710000	962	1	97702475-97702494	97700000	+	97702475	97702494
180	chr1	98400000	964	4	98392219-98392238	98390000	-	98392219	98392238
183	chr1	100990000	975	1	100987031-100987050	100980000	-	100987031	100987050
188	chr1	103800000	985	2	103796520-103796539	103790000	+	103796520	103796539
188	chr1	103800000	986	2	103799500-103799519	103790000	+	103799500	103799519
190	chr1	105660000	991	3	105650038-105650057	105650000	-	105650038	105650057
196	chr1	108820000	1021	5	108818959-108818978	108810000	+	108818959	108818978
201	chr1	111650000	1035	4	111644355-111644374	111640000	+	111644355	111644374
202	chr1	112390000	1042	5	112386321-112386340	112380000	+	112386321	112386340
204	chr1	113760000	1052	3	113754450-113754469	113750000	-	113754450	113754469
204	chr1	113760000	1053	3	113754617-113754636	113750000	+	113754617	113754636
204	chr1	113760000	1054	3	113756981-113757000	113750000	-	113756981	113757000
207	chr1	115680000	1064	1	115675040-115675059	115670000	+	115675040	115675059
209	chr1	118350000	1071	11	118341286-118341305	118340000	+	118341286	118341305
209	chr1	118350000	1075	11	118343539-118343558	118340000	+	118343539	118343558
210	chr1	118520000	1083	6	118510098-118510117	118510000	-	118510098	118510117
210	chr1	118520000	1084	6	118510679-118510698	118510000	-	118510679	118510698
210	chr1	118520000	1085	6	118511527-118511546	118510000	-	118511527	118511546
210	chr1	118520000	1088	6	118519942-118519961	118510000	+	118519942	118519961
211	chr1	118780000	1092	6	118771064-118771083	118770000	-	118771064	118771083
211	chr1	118780000	1093	6	118772496-118772515	118770000	-	118772496	118772515
211	chr1	118780000	1096	6	118776733-118776752	118770000	+	118776733	118776752
212	chr1	119090000	1099	6	119082489-119082508	119080000	-	119082489	119082508
212	chr1	119090000	1102	6	119083843-119083862	119080000	-	119083843	119083862
212	chr1	119090000	1103	6	119087718-119087737	119080000	+	119087718	119087737
212	chr1	119090000	1104	6	119089358-119089377	119080000	-	119089358	119089377
213	chr1	119510000	1109	6	119503956-119503975	119500000	-	119503956	119503975
213	chr1	119510000	1110	6	119505156-119505175	119500000	+	119505156	119505175
213	chr1	119510000	1111	6	119506962-119506981	119500000	+	119506962	119506981
213	chr1	119510000	1112	6	119507351-119507370	119500000	+	119507351	119507370
214	chr1	119920000	1115	1	119919454-119919473	119910000	+	119919454	119919473
215	chr1	120590000	1118	3	120586652-120586671	120580000	+	120586652	120586671
222	chr1	124700000	1148	3	124695166-124695185	124690000	-	124695166	124695185
222	chr1	124700000	1149	3	124695632-124695651	124690000	-	124695632	124695651
222	chr1	124700000	1150	3	124698401-124698420	124690000	+	124698401	124698420
226	chr1	127000000	1161	4	126990119-126990138	126990000	+	126990119	126990138
226	chr1	127000000	1162	4	126992572-126992591	126990000	-	126992572	126992591
226	chr1	127000000	1164	4	126993483-126993502	126990000	-	126993483	126993502
227	chr1	127490000	1167	3	127484418-127484437	127480000	-	127484418	127484437
227	chr1	127490000	1168	3	127485006-127485025	127480000	+	127485006	127485025
227	chr1	127490000	1169	3	127487348-127487367	127480000	-	127487348	127487367
228	chr1	127780000	1172	2	127774334-127774353	127770000	+	127774334	127774353
229	chr1	128370000	1178	4	128367145-128367164	128360000	+	128367145	128367164
229	chr1	128370000	1179	4	128368904-128368923	128360000	+	128368904	128368923
230	chr1	128860000	1182	5	128854008-128854027	128850000	-	128854008	128854027
230	chr1	128860000	1185	5	128857988-128858007	128850000	+	128857988	128858007
232	chr1	129840000	1194	1	129835326-129835345	129830000	+	129835326	129835345
233	chr1	130160000	1196	2	130151514-130151533	130150000	-	130151514	130151533
233	chr1	130160000	1197	2	130154914-130154933	130150000	-	130154914	130154933
235	chr1	131080000	1205	9	131071704-131071723	131070000	-	131071704	131071723
235	chr1	131080000	1208	9	131074488-131074507	131070000	-	131074488	131074507
235	chr1	131080000	1211	9	131077190-131077209	131070000	+	131077190	131077209
236	chr1	131290000	1216	4	131280011-131280030	131280000	-	131280011	131280030
236	chr1	131290000	1217	4	131282584-131282603	131280000	-	131282584	131282603
236	chr1	131290000	1219	4	131289147-131289166	131280000	+	131289147	131289166
237	chr1	131570000	1226	8	131565168-131565187	131560000	+	131565168	131565187
237	chr1	131570000	1229	8	131568460-131568479	131560000	-	131568460	131568479
238	chr1	131920000	1235	6	131914277-131914296	131910000	+	131914277	131914296
238	chr1	131920000	1237	6	131917447-131917466	131910000	-	131917447	131917466
239	chr1	133010000	1240	2	133007287-133007306	133000000	+	133007287	133007306
240	chr1	133370000	1247	9	133363767-133363786	133360000	-	133363767	133363786
240	chr1	133370000	1248	9	133363867-133363886	133360000	-	133363867	133363886
240	chr1	133370000	1249	9	133365041-133365060	133360000	-	133365041	133365060
240	chr1	133370000	1250	9	133365997-133366016	133360000	+	133365997	133366016
240	chr1	133370000	1251	9	133367024-133367043	133360000	+	133367024	133367043
240	chr1	133370000	1252	9	133369016-133369035	133360000	+	133369016	133369035
241	chr1	133630000	1255	1	133626717-133626736	133620000	-	133626717	133626736
242	chr1	134350000	1259	5	134341891-134341910	134340000	-	134341891	134341910
242	chr1	134350000	1260	5	134343806-134343825	134340000	-	134343806	134343825
243	chr1	134640000	1264	7	134632215-134632234	134630000	-	134632215	134632234
243	chr1	134640000	1265	7	134636876-134636895	134630000	+	134636876	134636895
243	chr1	134640000	1266	7	134637494-134637513	134630000	+	134637494	134637513
243	chr1	134640000	1270	7	134639639-134639658	134630000	+	134639639	134639658
244	chr1	134960000	1273	5	134952218-134952237	134950000	+	134952218	134952237
244	chr1	134960000	1274	5	134954982-134955001	134950000	+	134954982	134955001
244	chr1	134960000	1275	5	134955640-134955659	134950000	+	134955640	134955659
245	chr1	135140000	1283	8	135133546-135133565	135130000	-	135133546	135133565
245	chr1	135140000	1284	8	135136292-135136311	135130000	-	135136292	135136311
245	chr1	135140000	1285	8	135136682-135136701	135130000	-	135136682	135136701
245	chr1	135140000	1286	8	135138433-135138452	135130000	+	135138433	135138452
245	chr1	135140000	1287	8	135139204-135139223	135130000	-	135139204	135139223
246	chr1	135400000	1293	7	135396435-135396454	135390000	-	135396435	135396454
246	chr1	135400000	1296	7	135399871-135399890	135390000	-	135399871	135399890
247	chr1	135810000	1299	4	135800846-135800865	135800000	+	135800846	135800865
247	chr1	135810000	1300	4	135801093-135801112	135800000	-	135801093	135801112
247	chr1	135810000	1301	4	135802686-135802705	135800000	+	135802686	135802705
247	chr1	135810000	1302	4	135809628-135809647	135800000	+	135809628	135809647
248	chr1	136530000	1305	5	136521509-136521528	136520000	-	136521509	136521528
248	chr1	136530000	1306	5	136526154-136526173	136520000	-	136526154	136526173
248	chr1	136530000	1307	5	136526910-136526929	136520000	-	136526910	136526929
248	chr1	136530000	1308	5	136527569-136527588	136520000	-	136527569	136527588
248	chr1	136530000	1309	5	136528491-136528510	136520000	-	136528491	136528510
249	chr1	136770000	1314	5	136768520-136768539	136760000	+	136768520	136768539
249	chr1	136770000	1315	5	136769036-136769055	136760000	-	136769036	136769055
250	chr1	137240000	1320	4	137236763-137236782	137230000	+	137236763	137236782
252	chr1	138840000	1329	3	138835524-138835543	138830000	+	138835524	138835543
252	chr1	138840000	1330	3	138838844-138838863	138830000	-	138838844	138838863
252	chr1	138840000	1331	3	138839990-138840009	138830000	+	138839990	138840009
253	chr1	139410000	1334	6	139405958-139405977	139400000	-	139405958	139405977
253	chr1	139410000	1337	6	139408941-139408960	139400000	-	139408941	139408960
253	chr1	139410000	1339	6	139409653-139409672	139400000	-	139409653	139409672
255	chr1	141590000	1348	3	141589463-141589482	141580000	-	141589463	141589482
258	chr1	143800000	1358	2	143798453-143798472	143790000	+	143798453	143798472
260	chr1	144390000	1363	2	144380203-144380222	144380000	-	144380203	144380222
262	chr1	146520000	1368	4	146514406-146514425	146510000	+	146514406	146514425
262	chr1	146520000	1369	4	146515556-146515575	146510000	+	146515556	146515575
262	chr1	146520000	1371	4	146518783-146518802	146510000	-	146518783	146518802
268	chr1	150370000	1383	2	150362185-150362204	150360000	+	150362185	150362204
269	chr1	151030000	1388	2	151025083-151025102	151020000	+	151025083	151025102
270	chr1	151430000	1391	2	151420321-151420340	151420000	+	151420321	151420340
