boundary_index	chrom	boundary_end	index	num_ctcf	span	boundary_start	strand	start	end	count	count	forward_scan	reverse_scan	scan_strand	mismatch	rf_diff
68	chr1	41150000	366	1	41149884-41149903	41140000	-	41149884	41149903	1	0	8.771776812410295	10.339652979394138	-	0	1.5678761669838437
70	chr1	42710000	369	2	42706885-42706904	42700000	+	42706885	42706904	1	0	10.28145548194128	7.239479538744592	+	0	3.041975943196687
70	chr1	42710000	370	2	42707159-42707178	42700000	+	42707159	42707178	1	0	10.086688807760183	7.676239204245238	+	0	2.4104496035149445
74	chr1	44200000	387	4	44198541-44198560	44190000	+	44198541	44198560	1	0	9.625492568571294	8.90011055558368	+	0	0.7253820129876143
74	chr1	44200000	388	4	44199081-44199100	44190000	+	44199081	44199100	1	0	9.437648786716085	8.142639496121078	+	0	1.295009290595008
75	chr1	44750000	391	3	44741453-44741472	44740000	-	44741453	44741472	1	0	7.340793251261513	10.617253785252757	-	0	3.2764605339912443
75	chr1	44750000	392	3	44745863-44745882	44740000	+	44745863	44745882	1	0	10.48012687058299	8.536912672270836	+	0	1.9432141983121554
78	chr1	46100000	399	1	46097337-46097356	46090000	+	46097337	46097356	1	0	9.339574188126665	7.292540945882562	+	0	2.047033242244103
80	chr1	46770000	403	4	46760030-46760049	46760000	+	46760030	46760049	1	0	9.87569635423467	7.929724023880456	+	0	1.9459723303542136
80	chr1	46770000	404	4	46769142-46769161	46760000	-	46769142	46769161	1	0	8.191396189035801	9.853920241088517	-	0	1.6625240520527154
86	chr1	50930000	432	5	50925538-50925557	50920000	-	50925538	50925557	1	0	6.7998179511643535	10.599112603999721	-	0	3.7992946528353677
86	chr1	50930000	433	5	50926482-50926501	50920000	-	50926482	50926501	1	0	8.414200414807958	9.665750875672025	-	0	1.2515504608640668
86	chr1	50930000	434	5	50927230-50927249	50920000	+	50927230	50927249	1	0	10.2724599850086	7.6810422860403085	+	0	2.591417698968292
88	chr1	51640000	439	2	51639053-51639072	51630000	+	51639053	51639072	1	0	10.840164399371613	8.970843639422279	+	0	1.8693207599493338
88	chr1	51640000	440	2	51639162-51639181	51630000	-	51639162	51639181	1	0	7.834024930433338	9.28862822884821	-	0	1.454603298414873
89	chr1	52130000	444	2	52129240-52129259	52120000	+	52129240	52129259	1	0	9.963282897095361	9.393279287879391	+	0	0.5700036092159699
90	chr1	52640000	448	6	52630617-52630636	52630000	-	52630617	52630636	1	0	9.046366718733545	11.484462004214569	-	0	2.4380952854810243
90	chr1	52640000	449	6	52635530-52635549	52630000	+	52635530	52635549	1	0	10.208069870261797	8.368292228317497	+	0	1.8397776419443002
91	chr1	53040000	455	6	53032755-53032774	53030000	-	53032755	53032774	1	0	7.724249504641216	10.735836226555652	-	0	3.011586721914435
91	chr1	53040000	456	6	53033229-53033248	53030000	-	53033229	53033248	1	0	7.387311679808585	9.674084512920517	-	0	2.2867728331119324
91	chr1	53040000	457	6	53033377-53033396	53030000	+	53033377	53033396	1	0	10.037328406149658	7.830989675468612	+	0	2.206338730681046
91	chr1	53040000	458	6	53033499-53033518	53030000	+	53033499	53033518	1	0	9.478021270473416	8.890628016279496	+	0	0.5873932541939197
91	chr1	53040000	459	6	53035053-53035072	53030000	+	53035053	53035072	1	0	9.8656867754939	7.081656347203742	+	0	2.7840304282901585
93	chr1	53700000	471	4	53698941-53698960	53690000	+	53698941	53698960	1	0	10.23275469279859	8.28435403469345	+	0	1.9484006581051396
94	chr1	53930000	475	3	53926430-53926449	53920000	-	53926430	53926449	1	0	9.023173519320054	10.265933573884748	-	0	1.2427600545646946
94	chr1	53930000	476	3	53927795-53927814	53920000	-	53927795	53927814	1	0	7.392709141837441	10.289581891099274	-	0	2.896872749261833
95	chr1	54390000	479	4	54381456-54381475	54380000	-	54381456	54381475	1	0	8.671606816264447	11.387098476350968	-	0	2.7154916600865207
96	chr1	54990000	486	5	54984449-54984468	54980000	+	54984449	54984468	1	0	10.11082052034211	7.752727506419989	+	0	2.3580930139221206
96	chr1	54990000	487	5	54985285-54985304	54980000	+	54985285	54985304	1	0	10.321660773625565	8.439637882217458	+	0	1.8820228914081074
96	chr1	54990000	488	5	54987161-54987180	54980000	-	54987161	54987180	1	0	6.7826631507037485	9.520498735801299	-	0	2.7378355850975504
96	chr1	54990000	489	5	54989672-54989691	54980000	+	54989672	54989691	1	0	9.127576359066431	7.9170856341348355	+	0	1.2104907249315957
98	chr1	55410000	502	5	55401241-55401260	55400000	-	55401241	55401260	1	0	8.069633524388212	9.404363408817453	-	0	1.3347298844292403
98	chr1	55410000	504	5	55404542-55404561	55400000	+	55404542	55404561	1	0	10.086304222957747	8.232990189446161	+	0	1.8533140335115856
99	chr1	55890000	509	1	55886566-55886585	55880000	+	55886566	55886585	1	0	11.18714445021164	8.456358270941772	+	0	2.7307861792698684
100	chr1	56990000	511	5	56980330-56980349	56980000	-	56980330	56980349	1	0	9.040106982348094	9.880436548710229	-	0	0.8403295663621346
100	chr1	56990000	512	5	56984315-56984334	56980000	+	56984315	56984334	1	0	9.984297231438148	7.917395823752071	+	0	2.0669014076860774
100	chr1	56990000	513	5	56985123-56985142	56980000	-	56985123	56985142	1	0	8.288591972007215	9.571167772879772	-	0	1.2825758008725572
100	chr1	56990000	515	5	56987654-56987673	56980000	+	56987654	56987673	1	0	9.78004854272053	7.365132268504095	+	0	2.414916274216435
101	chr1	57410000	519	3	57406326-57406345	57400000	+	57406326	57406345	1	0	9.85821776788511	8.068062406289013	+	0	1.7901553615960974
101	chr1	57410000	520	3	57406555-57406574	57400000	+	57406555	57406574	1	0	10.155642763990622	8.76640140297069	+	0	1.3892413610199323
102	chr1	58000000	528	6	57997802-57997821	57990000	-	57997802	57997821	1	0	7.6738893410805264	9.817664055196476	-	0	2.143774714115949
103	chr1	58390000	532	3	58382109-58382128	58380000	+	58382109	58382128	1	0	10.217653138479777	7.648101136150137	+	0	2.5695520023296403
104	chr1	58990000	537	4	58984484-58984503	58980000	-	58984484	58984503	1	0	7.545069076873955	10.256874265277128	-	0	2.711805188403173
104	chr1	58990000	538	4	58984819-58984838	58980000	-	58984819	58984838	1	0	8.966688116052548	9.517815380742666	-	0	0.551127264690118
104	chr1	58990000	539	4	58987583-58987602	58980000	+	58987583	58987602	1	0	9.592423290722024	8.554253828036234	+	0	1.03816946268579
105	chr1	59250000	547	8	59244855-59244874	59240000	+	59244855	59244874	1	0	9.753518308873002	8.258958108952987	+	0	1.4945601999200147
108	chr1	60970000	563	2	60961297-60961316	60960000	-	60961297	60961316	1	0	7.514997866772108	10.895003826563986	-	0	3.3800059597918786
109	chr1	61780000	567	4	61771420-61771439	61770000	-	61771420	61771439	1	0	8.30429448997339	11.157741178545203	-	0	2.853446688571813
109	chr1	61780000	568	4	61774596-61774615	61770000	-	61774596	61774615	1	0	6.939287499990895	9.518917290899601	-	0	2.5796297909087063
110	chr1	62710000	573	7	62701200-62701219	62700000	-	62701200	62701219	1	0	8.659258314263248	10.603120143535467	-	0	1.943861829272219
110	chr1	62710000	574	7	62701353-62701372	62700000	-	62701353	62701372	1	0	7.992756713101938	10.094606743955946	-	0	2.101850030854008
110	chr1	62710000	575	7	62706652-62706671	62700000	-	62706652	62706671	1	0	8.129593257900208	10.427266488386529	-	0	2.297673230486321
110	chr1	62710000	576	7	62707787-62707806	62700000	-	62707787	62707806	1	0	7.697807748986939	9.887579668563138	-	0	2.1897719195761987
110	chr1	62710000	577	7	62707902-62707921	62700000	+	62707902	62707921	1	0	9.60999468853156	7.463478837855621	+	0	2.1465158506759385
110	chr1	62710000	578	7	62708644-62708663	62700000	-	62708644	62708663	1	0	9.510765470444365	10.584704169771818	-	0	1.073938699327453
110	chr1	62710000	579	7	62709521-62709540	62700000	-	62709521	62709540	1	0	8.555392653915728	9.515339326765254	-	0	0.9599466728495258
111	chr1	63050000	585	5	63042680-63042699	63040000	+	63042680	63042699	1	0	9.329319361521401	7.70062876219004	+	0	1.6286905993313612
113	chr1	64530000	590	1	64525518-64525537	64520000	+	64525518	64525537	1	0	9.308116062019028	7.557620891608991	+	0	1.750495170410037
117	chr1	66690000	599	1	66688892-66688911	66680000	+	66688892	66688911	1	0	9.871278038544332	7.818087777561609	+	0	2.0531902609827233
118	chr1	67190000	601	1	67181366-67181385	67180000	+	67181366	67181385	1	0	10.743105043373713	7.460631817763898	+	0	3.2824732256098157
119	chr1	67550000	603	1	67548191-67548210	67540000	+	67548191	67548210	1	0	9.628951077328557	7.123062575674334	+	0	2.5058885016542227
121	chr1	68460000	607	1	68453076-68453095	68450000	-	68453076	68453095	1	0	7.556720638618951	9.881607455771258	-	0	2.324886817152307
122	chr1	69170000	611	5	69165358-69165377	69160000	+	69165358	69165377	1	0	9.98804017996615	6.980597064825707	+	0	3.0074431151404433
122	chr1	69170000	613	5	69166603-69166622	69160000	+	69166603	69166622	1	0	10.226088640671463	7.50226441251943	+	0	2.723824228152033
124	chr1	70250000	624	4	70248077-70248096	70240000	+	70248077	70248096	1	0	10.51851328724721	6.7495106369855415	+	0	3.769002650261668
125	chr1	70760000	628	2	70750618-70750637	70750000	+	70750618	70750637	1	0	9.680306708357751	7.8837911618294205	+	0	1.7965155465283305
125	chr1	70760000	629	2	70757010-70757029	70750000	+	70757010	70757029	1	0	11.028571998781775	7.315373580878844	+	0	3.713198417902931
126	chr1	71110000	632	2	71102841-71102860	71100000	-	71102841	71102860	1	0	7.625217725774416	10.195846276775232	-	0	2.5706285510008158
127	chr1	71550000	640	5	71549935-71549954	71540000	+	71549935	71549954	1	0	9.258556667752153	8.248513834065216	+	0	1.0100428336869367
128	chr1	72160000	651	10	72158618-72158637	72150000	-	72158618	72158637	1	0	8.206674976809346	10.148020148929735	-	0	1.9413451721203892
128	chr1	72160000	652	10	72158937-72158956	72150000	+	72158937	72158956	1	0	9.595112935878397	6.886853700426601	+	0	2.7082592354517967
129	chr1	72710000	655	5	72701411-72701430	72700000	-	72701411	72701430	1	0	8.147319155399817	10.478829317042972	-	0	2.3315101616431555
130	chr1	72880000	662	7	72870007-72870026	72870000	-	72870007	72870026	1	0	7.25244156704575	9.576944394223428	-	0	2.324502827177678
130	chr1	72880000	663	7	72873886-72873905	72870000	+	72873886	72873905	1	0	9.269083612900792	8.205718532575677	+	0	1.0633650803251147
130	chr1	72880000	664	7	72874105-72874124	72870000	+	72874105	72874124	1	0	9.939786031198793	8.360858992510018	+	0	1.578927038688775
130	chr1	72880000	665	7	72876255-72876274	72870000	+	72876255	72876274	1	0	10.276994564355117	7.802512145430513	+	0	2.4744824189246044
130	chr1	72880000	666	7	72876487-72876506	72870000	+	72876487	72876506	1	0	10.088017471393956	7.29462492376692	+	0	2.793392547627036
130	chr1	72880000	667	7	72876849-72876868	72870000	-	72876849	72876868	1	0	6.837724245195418	9.93176523073177	-	0	3.0940409855363518
131	chr1	73290000	671	2	73283534-73283553	73280000	+	73283534	73283553	1	0	9.201333382466387	7.787596525000031	+	0	1.4137368574663567
132	chr1	73870000	677	6	73863243-73863262	73860000	-	73863243	73863262	1	0	8.060054873720658	10.59585919856352	-	0	2.5358043248428626
133	chr1	74190000	683	6	74180862-74180881	74180000	-	74180862	74180881	1	0	8.441502239880023	10.22832943543015	-	0	1.786827195550126
134	chr1	74450000	693	6	74448655-74448674	74440000	-	74448655	74448674	1	0	8.619120234264422	9.65534043009092	-	0	1.0362201958264983
135	chr1	75320000	700	8	75312309-75312328	75310000	+	75312309	75312328	1	0	9.925911473698104	8.091782635535113	+	0	1.8341288381629912
135	chr1	75320000	701	8	75312561-75312580	75310000	+	75312561	75312580	1	0	9.638114930833547	9.124024150986973	+	0	0.5140907798465744
135	chr1	75320000	702	8	75315013-75315032	75310000	-	75315013	75315032	1	0	8.687173322276106	10.246286795390374	-	0	1.5591134731142677
135	chr1	75320000	703	8	75315311-75315330	75310000	-	75315311	75315330	1	0	7.554322657231458	9.668028252226579	-	0	2.113705594995121
135	chr1	75320000	704	8	75315533-75315552	75310000	+	75315533	75315552	1	0	10.425554354966852	8.152081761241206	+	0	2.2734725937256464
135	chr1	75320000	705	8	75316593-75316612	75310000	+	75316593	75316612	1	0	9.933256765606023	7.7576131990429635	+	0	2.1756435665630596
135	chr1	75320000	706	8	75317094-75317113	75310000	+	75317094	75317113	1	0	10.599454726177935	8.367302227405002	+	0	2.2321524987729333
137	chr1	76700000	714	1	76695995-76696014	76690000	-	76695995	76696014	1	0	8.471459182617664	10.199340922759685	-	0	1.7278817401420206
138	chr1	77540000	716	2	77533814-77533833	77530000	-	77533814	77533833	1	0	8.378119223372638	9.70212191259393	-	0	1.3240026892212917
138	chr1	77540000	717	2	77539831-77539850	77530000	-	77539831	77539850	1	0	7.745214231952838	9.93084728169725	-	0	2.1856330497444123
139	chr1	77940000	721	4	77931229-77931248	77930000	-	77931229	77931248	1	0	7.725618090222371	9.773119931612225	-	0	2.0475018413898542
139	chr1	77940000	722	4	77935053-77935072	77930000	+	77935053	77935072	1	0	10.074960460174687	9.08802926227414	+	0	0.986931197900546
140	chr1	78200000	726	6	78190021-78190040	78190000	+	78190021	78190040	1	0	9.61946130988975	7.868927474213368	+	0	1.7505338356763822
140	chr1	78200000	727	6	78190369-78190388	78190000	-	78190369	78190388	1	0	8.904399096523457	9.763994559795686	-	0	0.8595954632722282
140	chr1	78200000	728	6	78194011-78194030	78190000	+	78194011	78194030	1	0	9.241769123888513	7.233884541602878	+	0	2.0078845822856355
140	chr1	78200000	729	6	78195388-78195407	78190000	-	78195388	78195407	1	0	8.213675534256314	9.265533938308446	-	0	1.0518584040521315
140	chr1	78200000	730	6	78195561-78195580	78190000	-	78195561	78195580	1	0	6.860580290351236	10.20195649524797	-	0	3.3413762048967337
140	chr1	78200000	731	6	78198562-78198581	78190000	-	78198562	78198581	1	0	7.690763044595409	9.539352894821594	-	0	1.848589850226185
142	chr1	78730000	740	5	78724639-78724658	78720000	+	78724639	78724658	1	0	10.436580061905943	8.556681201244867	+	0	1.8798988606610756
142	chr1	78730000	741	5	78726005-78726024	78720000	+	78726005	78726024	1	0	9.719047281862277	8.078411874080992	+	0	1.6406354077812857
142	chr1	78730000	742	5	78726372-78726391	78720000	-	78726372	78726391	1	0	8.314112432034799	10.354008290113658	-	0	2.039895858078859
143	chr1	79770000	745	4	79760278-79760297	79760000	-	79760278	79760297	1	0	7.510533337216387	9.074858825385688	-	0	1.5643254881693007
144	chr1	80180000	753	3	80178189-80178208	80170000	-	80178189	80178208	1	0	8.718373517344325	10.483083237327168	-	0	1.764709719982843
145	chr1	80780000	757	3	80778647-80778666	80770000	+	80778647	80778666	1	0	10.099975024099667	7.638013149635828	+	0	2.4619618744638387
145	chr1	80780000	758	3	80778824-80778843	80770000	+	80778824	80778843	1	0	9.612450497637145	8.413735650446299	+	0	1.1987148471908462
146	chr1	81300000	761	4	81293985-81294004	81290000	-	81293985	81294004	1	0	8.037679197612054	10.201570923578409	-	0	2.163891725966355
146	chr1	81300000	762	4	81296313-81296332	81290000	-	81296313	81296332	1	0	7.88299167896406	9.891978910858127	-	0	2.008987231894067
146	chr1	81300000	763	4	81296766-81296785	81290000	+	81296766	81296785	1	0	10.147110062340753	7.506346803660765	+	0	2.6407632586799874
147	chr1	82490000	767	5	82480888-82480907	82480000	+	82480888	82480907	1	0	9.564268422526625	7.63765401211443	+	0	1.9266144104121956
147	chr1	82490000	769	5	82485166-82485185	82480000	-	82485166	82485185	1	0	8.467253999103754	9.336174148708032	-	0	0.8689201496042784
