boundary_index	chrom	boundary_end	index	num_ctcf	span	boundary_start	strand	start	end	seq_id	boSCD_m1	dotSCD_m1	dot-score_m1	cross-score_m1	x-score_m1	boSCD_m2	dotSCD_m2	dot-score_m2	cross-score_m2	x-score_m2
9	chr1	9550000	56	13	9546139-9546158	9540000	-	9546139	9546158	15	0.320721435546875	0.2519287109375	0.16038055419921876	0.00022713541984558104	-6.558895111083985e-05	0.3142822265625	0.2840087890625	0.1221649169921875	0.000426560640335083	0.000517195463180542
9	chr1	9550000	57	13	9546407-9546426	9540000	+	9546407	9546426	16	0.17742919921875	0.19072265625	0.16098861694335936	0.00017635226249694823	-0.00013007521629333497	0.175543212890625	0.20582275390625	0.12180938720703124	0.00037518739700317385	0.00045371055603027344
9	chr1	9550000	58	13	9546589-9546608	9540000	-	9546589	9546608	17	0.7700927734375	0.6345458984375	0.15687637329101561	0.00014213323593139648	-0.00017094016075134278	0.5916015625	0.5323486328125	0.11806793212890625	0.00027162432670593264	0.00024355649948120116
9	chr1	9550000	59	13	9548558-9548577	9540000	+	9548558	9548577	18	0.215533447265625	0.25684814453125	0.16015548706054689	0.00014058947563171386	-0.0001919567584991455	0.188665771484375	0.159478759765625	0.1218475341796875	0.0003462672233581543	0.0004516959190368652
9	chr1	9550000	60	13	9548732-9548751	9540000	+	9548732	9548751	19	0.276104736328125	0.2093505859375	0.16117477416992188	0.00020273327827453614	-0.00010528564453125	0.199493408203125	0.184954833984375	0.12303619384765625	0.00042638182640075684	0.0005105972290039062
9	chr1	9550000	61	13	9549166-9549185	9540000	+	9549166	9549185	20	33.4046875	29.6171875	1.10224609375	0.0586125373840332	0.08098812103271484	27.9171875	25.4359375	1.064599609375	0.06589584350585938	0.0890869140625
9	chr1	9550000	62	13	9549807-9549826	9540000	-	9549807	9549826	21	0.207086181640625	0.166217041015625	0.16097564697265626	0.0001992762088775635	-0.00011036992073059082	0.163525390625	0.227886962890625	0.122125244140625	0.0003729879856109619	0.00047895908355712893
11	chr1	10230000	75	5	10229100-10229119	10220000	+	10229100	10229119	22	0.971923828125	1.1302978515625	0.15657196044921876	4.1604042053222656e-05	-0.00029494762420654295	1.1691650390625	1.362451171875	0.11212158203125	0.00022045373916625976	-5.548000335693359e-05
11	chr1	10230000	76	5	10229217-10229236	10220000	+	10229217	10229236	23	0.9897216796875	0.7382568359375	0.15677032470703126	0.0001842200756072998	-7.38382339477539e-05	0.7560546875	1.1675537109375	0.10811080932617187	-2.7620792388916014e-05	-0.00040041208267211915
13	chr1	11150000	83	5	11140104-11140123	11140000	-	11140104	11140123	24	16.75703125	10.38359375	0.09708709716796875	0.0005266666412353516	0.000412297248840332	10.690234375	9.9505859375	0.05890960693359375	-1.316070556640625e-05	-0.00025124549865722655
13	chr1	11150000	85	5	11143840-11143859	11140000	-	11143840	11143859	25	0.19815673828125	0.17274169921875	0.16147384643554688	0.00020763874053955078	-8.199214935302734e-05	0.175018310546875	0.17572021484375	0.12176055908203125	0.0003588259220123291	0.0004568338394165039
13	chr1	11150000	86	5	11145411-11145430	11140000	+	11145411	11145430	26	0.6221435546875	0.5690185546875	0.16053085327148436	0.0002322554588317871	-8.335113525390626e-05	0.7098388671875	0.26983642578125	0.12286224365234374	0.0004252493381500244	0.00048249363899230955
13	chr1	11150000	87	5	11149106-11149125	11140000	+	11149106	11149125	27	0.1833984375	0.193023681640625	0.16108169555664062	0.00021666884422302246	-8.648037910461426e-05	0.18914794921875	0.161334228515625	0.12236175537109376	0.00036365985870361327	0.00048377513885498045
14	chr1	11660000	91	2	11657891-11657910	11650000	+	11657891	11657910	28	57.665625	50.54375	7.9298828125	0.48104248046875	0.64835205078125	47.5125	53.278125	10.237890625	0.622607421875	0.8367431640625
15	chr1	12850000	96	6	12843776-12843795	12840000	-	12843776	12843795	29	0.231707763671875	0.202362060546875	0.16186294555664063	0.00020779371261596679	-8.248090744018554e-05	0.2398681640625	0.17740478515625	0.12375946044921875	0.00046677589416503905	0.0005812764167785645
15	chr1	12850000	97	6	12844004-12844023	12840000	+	12844004	12844023	30	6.1583984375	9.1857421875	0.10692901611328125	5.222558975219727e-05	-0.00030276775360107424	5.4712890625	6.57890625	0.06019744873046875	-0.0004540920257568359	-0.0011934757232666016
15	chr1	12850000	98	6	12844329-12844348	12840000	-	12844329	12844348	31	0.2129150390625	0.213177490234375	0.1617889404296875	0.00018761157989501953	-0.00013491511344909668	0.221795654296875	0.206964111328125	0.1224395751953125	0.00035774111747741697	0.0004621267318725586
17	chr1	14120000	106	4	14110186-14110205	14110000	-	14110186	14110205	32	0.35594482421875	0.40723876953125	0.15895843505859375	9.77158546447754e-05	-0.0002548515796661377	0.24637451171875	0.215594482421875	0.12055511474609375	0.0002595484256744385	0.0003242969512939453
18	chr1	14730000	112	2	14727560-14727579	14720000	-	14727560	14727579	33	0.20205078125	0.213763427734375	0.16181106567382814	0.00021973252296447754	-6.935596466064453e-05	0.16097412109375	0.1822509765625	0.12164154052734374	0.00035742521286010744	0.0004574894905090332
18	chr1	14730000	113	2	14729230-14729249	14720000	-	14729230	14729249	34	51.81875	54.278125	9.049609375	0.54400634765625	0.73583984375	43.6125	56.4625	10.881640625	0.6386962890625	0.86875
19	chr1	15000000	116	2	14995520-14995539	14990000	+	14995520	14995539	35	0.16124267578125	0.18760986328125	0.16177215576171874	0.00018610358238220216	-0.00010986328125	0.203741455078125	0.171575927734375	0.122088623046875	0.0003813803195953369	0.0004782676696777344
19	chr1	15000000	117	2	14998395-14998414	14990000	-	14998395	14998414	36	0.2171875	0.187225341796875	0.16134719848632811	0.00023302435874938965	-6.300806999206542e-05	0.17491455078125	0.1754730224609375	0.12273406982421875	0.00042490363121032714	0.0005510210990905762
20	chr1	15640000	120	3	15632096-15632115	15630000	+	15632096	15632115	37	0.199267578125	0.25770263671875	0.16074142456054688	0.00012475252151489258	-0.00022478699684143067	0.23154296875	0.161474609375	0.12249603271484374	0.00038588643074035647	0.0004794597625732422
20	chr1	15640000	121	3	15637465-15637484	15630000	-	15637465	15637484	38	0.1662109375	0.152264404296875	0.16149368286132812	0.00018645524978637694	-0.0001171886920928955	0.195263671875	0.1375244140625	0.1214599609375	0.00037815570831298826	0.00045902729034423827
21	chr1	16100000	126	7	16092454-16092473	16090000	+	16092454	16092473	39	0.163153076171875	0.16845703125	0.16152877807617189	0.00023930668830871583	-3.1894445419311525e-05	0.18216552734375	0.1943634033203125	0.12210235595703126	0.0004084467887878418	0.000531613826751709
23	chr1	17150000	138	5	17144488-17144507	17140000	-	17144488	17144507	40	0.140814208984375	0.16280517578125	0.16098861694335936	0.00017865300178527833	-0.0001274228096008301	0.1223052978515625	0.160028076171875	0.12238006591796875	0.00040776729583740233	0.0005129218101501465
26	chr1	19090000	152	5	19084608-19084627	19080000	-	19084608	19084627	41	2.98466796875	4.34814453125	0.11966686248779297	-0.00017441511154174804	-0.0007489800453186035	2.57275390625	2.4359375	0.09627685546875	-4.720687866210938e-06	-0.00048593878746032714
26	chr1	19090000	153	5	19086935-19086954	19080000	-	19086935	19086954	42	0.191064453125	0.182269287109375	0.16114120483398436	0.0002124011516571045	-8.723139762878418e-05	0.1396728515625	0.180047607421875	0.12223663330078124	0.0003715217113494873	0.0005004167556762696
28	chr1	20300000	164	3	20298719-20298738	20290000	-	20298719	20298738	43	0.47725830078125	0.38465576171875	0.15920639038085938	0.00015053153038024902	-0.0001622915267944336	0.2206787109375	0.3223388671875	0.11852264404296875	0.0002044677734375	0.00019744038581848145
30	chr1	21420000	169	8	21411386-21411405	21410000	+	21411386	21411405	44	49.225	49.209375	7.4861328125	0.45858154296875	0.6153564453125	35.8390625	44.409375	6.7822265625	0.42996826171875	0.56876220703125
30	chr1	21420000	172	8	21414847-21414866	21410000	-	21414847	21414866	45	0.23988037109375	0.202984619140625	0.16077651977539062	0.00015265345573425292	-0.00018151998519897461	0.18065185546875	0.178424072265625	0.1221282958984375	0.0003729701042175293	0.0004739046096801758
31	chr1	21960000	179	2	21950776-21950795	21950000	-	21950776	21950795	46	0.40079345703125	0.2863525390625	0.16027069091796875	0.00017884373664855957	-0.00012105703353881836	0.190704345703125	0.210540771484375	0.120013427734375	0.00026174783706665037	0.00032465457916259767
36	chr1	24290000	207	3	24286577-24286596	24280000	-	24286577	24286596	47	0.1783935546875	0.174114990234375	0.16131210327148438	0.00018378496170043946	-0.00011299252510070801	0.14718017578125	0.20650634765625	0.120635986328125	0.0003058016300201416	0.0003968656063079834
37	chr1	24690000	213	5	24684249-24684268	24680000	+	24684249	24684268	48	0.3375244140625	0.27357177734375	0.16118621826171875	0.00025622844696044923	-2.2476911544799806e-05	0.24537353515625	0.26878662109375	0.122357177734375	0.00042256712913513184	0.0005552530288696289
38	chr1	25530000	219	3	25527135-25527154	25520000	+	25527135	25527154	49	16.3578125	19.234375	0.29127655029296873	0.012770962715148926	0.017652130126953124	16.19609375	10.65078125	0.06894683837890625	0.0012755870819091796	0.0014868974685668945
44	chr1	28800000	244	1	28793234-28793253	28790000	+	28793234	28793253	50	0.170758056640625	0.147808837890625	0.16132431030273436	0.00023533701896667482	-5.4770708084106444e-05	0.1518524169921875	0.181488037109375	0.12283172607421874	0.0004230678081512451	0.0005563974380493164
46	chr1	30700000	250	3	30697323-30697342	30690000	+	30697323	30697342	51	0.16636962890625	0.165228271484375	0.16126632690429688	0.000189054012298584	-0.0001173853874206543	0.176171875	0.158056640625	0.12194976806640626	0.00042298436164855957	0.0005367457866668701
49	chr1	32170000	258	1	32160894-32160913	32160000	-	32160894	32160913	52	0.196405029296875	0.215777587890625	0.16103973388671874	0.00022869110107421876	-5.518794059753418e-05	0.160064697265625	0.186224365234375	0.12154693603515625	0.0003671884536743164	0.00046851634979248045
50	chr1	32720000	260	2	32712227-32712246	32710000	-	32712227	32712246	53	0.138330078125	0.14097900390625	0.16171875	0.0002126157283782959	-7.609724998474121e-05	0.163836669921875	0.160992431640625	0.1229644775390625	0.00042008757591247556	0.0005457162857055664
52	chr1	34460000	270	7	34453048-34453067	34450000	+	34453048	34453067	54	0.388525390625	0.28465576171875	0.1595458984375	0.0001414954662322998	-0.0001918613910675049	0.2905517578125	0.31754150390625	0.12186737060546875	0.00035346150398254397	0.0004187941551208496
52	chr1	34460000	271	7	34456487-34456506	34450000	-	34456487	34456506	55	0.642431640625	0.4844970703125	0.158929443359375	0.00020729303359985353	-6.721019744873046e-05	0.2816650390625	0.3474365234375	0.1206146240234375	0.0003381788730621338	0.0003971397876739502
52	chr1	34460000	274	7	34459879-34459898	34450000	+	34459879	34459898	56	6.93984375	6.474609375	0.10673751831054687	4.5192241668701175e-05	-0.0003714799880981445	2.073828125	2.26572265625	0.08843765258789063	-0.00037255287170410154	-0.0012623786926269532
53	chr1	34890000	277	2	34883192-34883211	34880000	-	34883192	34883211	57	0.23878173828125	0.22091064453125	0.1611480712890625	0.00020343661308288574	-9.229183197021485e-05	0.2275634765625	0.16103515625	0.12183074951171875	0.0003816068172454834	0.00046464204788208006
55	chr1	35720000	285	4	35713888-35713907	35710000	+	35713888	35713907	58	0.140362548828125	0.15487060546875	0.16149063110351564	0.00018932223320007325	-0.000107574462890625	0.1779144287109375	0.169732666015625	0.12242889404296875	0.00041686296463012696	0.0005522847175598144
55	chr1	35720000	286	4	35716130-35716149	35710000	-	35716130	35716149	59	21.890625	19.90703125	0.7474609375	0.04200553894042969	0.056196975708007815	15.475	19.69765625	0.86234130859375	0.05670318603515625	0.07266998291015625
56	chr1	36140000	291	4	36133098-36133117	36130000	+	36133098	36133117	60	1.3461669921875	0.8829345703125	0.15558700561523436	0.00017538666725158691	-7.442235946655273e-05	0.41544189453125	0.7715576171875	0.11551055908203126	0.00026957392692565917	0.00014628171920776366
57	chr1	36780000	297	3	36774637-36774656	36770000	+	36774637	36774656	61	0.1542755126953125	0.20511474609375	0.16151580810546876	0.00017299652099609376	-0.00014049410820007324	0.187982177734375	0.161669921875	0.12205963134765625	0.00043108463287353513	0.0005348443984985352
57	chr1	36780000	299	3	36778137-36778156	36770000	-	36778137	36778156	62	0.4322265625	0.2626220703125	0.16058425903320311	0.00014502406120300292	-0.00020343661308288574	0.41470947265625	0.317041015625	0.1253692626953125	0.0005858838558197021	0.0006780326366424561
58	chr1	37260000	302	8	37250510-37250529	37250000	+	37250510	37250529	63	4.23876953125	3.86513671875	0.12788772583007812	-0.00012503862380981446	-0.0006212174892425537	2.6318359375	3.39619140625	0.08291397094726563	-0.00041763782501220704	-0.0013855457305908202
58	chr1	37260000	303	8	37250857-37250876	37250000	-	37250857	37250876	64	33.20625	34.23125	3.13671875	0.196795654296875	0.2597259521484375	23.44375	34.728125	3.9068359375	0.257708740234375	0.335845947265625
58	chr1	37260000	306	8	37255135-37255154	37250000	+	37255135	37255154	65	0.207452392578125	0.193798828125	0.1615142822265625	0.00017929673194885253	-0.000132066011428833	0.206561279296875	0.1935546875	0.1219451904296875	0.0003383100032806396	0.0004301488399505615
58	chr1	37260000	307	8	37258139-37258158	37250000	+	37258139	37258158	66	0.9359619140625	0.4846923828125	0.15987777709960938	0.00023214817047119142	-1.049041748046875e-05	0.48018798828125	0.4941162109375	0.1181488037109375	0.0002449452877044678	0.00022289752960205078
58	chr1	37260000	309	8	37259328-37259347	37250000	-	37259328	37259347	67	0.21900634765625	0.174517822265625	0.16074447631835936	0.00018985867500305177	-0.00013257861137390138	0.17022705078125	0.2225341796875	0.12192535400390625	0.0003732740879058838	0.0004486799240112305
59	chr1	37660000	315	6	37656131-37656150	37650000	-	37656131	37656150	68	1.51533203125	1.39404296875	0.15231475830078126	0.0001314103603363037	-0.00017346739768981935	2.286328125	2.1134765625	0.09808197021484374	-0.00012753009796142578	-0.0008225440979003906
59	chr1	37660000	317	6	37659824-37659843	37650000	-	37659824	37659843	69	0.224005126953125	0.241357421875	0.16144638061523436	0.0002659916877746582	-3.4689903259277345e-06	0.21380615234375	0.182965087890625	0.12172698974609375	0.0003863632678985596	0.000494605302810669
61	chr1	38140000	326	2	38130121-38130140	38130000	-	38130121	38130140	70	32.5734375	32.0421875	2.605126953125	0.1634185791015625	0.2151458740234375	28.746875	27.16875	2.10244140625	0.141748046875	0.1824005126953125
61	chr1	38140000	327	2	38132329-38132348	38130000	+	38132329	38132348	71	0.317022705078125	0.3052978515625	0.15928497314453124	0.00019734501838684083	-0.0001106560230255127	0.2387939453125	0.2777099609375	0.12221527099609375	0.0004225730895996094	0.0005076408386230468
62	chr1	38790000	330	5	38780239-38780258	38780000	+	38780239	38780258	72	0.61832275390625	0.523876953125	0.15881576538085937	0.00020714402198791505	-7.683634757995605e-05	0.2993896484375	0.3179931640625	0.12098846435546876	0.000375974178314209	0.000435483455657959
62	chr1	38790000	331	5	38785332-38785351	38780000	+	38785332	38785351	73	4.672216796875	1.57939453125	0.15047149658203124	-1.0496377944946289e-05	-0.00038638114929199217	1.0722412109375	1.3423583984375	0.11014251708984375	0.00011383295059204101	-0.0001763463020324707
62	chr1	38790000	332	5	38787633-38787652	38780000	-	38787633	38787652	74	60.86875	67.11875	12.975390625	0.7397216796875	1.0249755859375	47.6875	52.85625	9.11484375	0.5403564453125	0.7326416015625
62	chr1	38790000	333	5	38789134-38789153	38780000	+	38789134	38789153	75	38.8375	35.084375	3.260400390625	0.2046722412109375	0.2700714111328125	28.2921875	33.0890625	2.735986328125	0.182135009765625	0.235968017578125
63	chr1	39000000	338	3	38999284-38999303	38990000	+	38999284	38999303	76	0.78223876953125	0.6718994140625	0.15844573974609374	0.00013268589973449706	-0.0001492440700531006	0.4447509765625	0.42086181640625	0.11793060302734375	0.0001707613468170166	0.00013631582260131836
64	chr1	39370000	342	5	39360518-39360537	39360000	+	39360518	39360537	77	0.23128662109375	0.21888427734375	0.16118850708007812	0.00018835067749023438	-0.00013654232025146485	0.26268310546875	0.227197265625	0.12394866943359376	0.00046054720878601073	0.0005423784255981446
64	chr1	39370000	343	5	39362330-39362349	39360000	+	39362330	39362349	78	5.6150390625	4.1650390625	0.12446708679199218	3.508329391479492e-05	-0.000360870361328125	2.8615234375	6.410546875	0.06517982482910156	-0.0008097171783447265	-0.0016479372978210449
64	chr1	39370000	344	5	39364659-39364678	39360000	+	39364659	39364678	79	0.234423828125	0.215826416015625	0.1612640380859375	0.00018988847732543946	-0.00011678338050842285	0.1890380859375	0.17037353515625	0.12256927490234375	0.00042636990547180177	0.0005361795425415039
64	chr1	39370000	345	5	39365142-39365161	39360000	+	39365142	39365161	80	0.242254638671875	0.19921875	0.16132736206054688	0.00021879076957702636	-6.969571113586426e-05	0.193133544921875	0.185601806640625	0.122564697265625	0.00039350390434265135	0.00047599077224731446
64	chr1	39370000	346	5	39368956-39368975	39360000	+	39368956	39368975	81	0.21246337890625	0.158355712890625	0.16153793334960936	0.00020864009857177735	-9.455680847167969e-05	0.17940673828125	0.194927978515625	0.12182159423828125	0.0003778219223022461	0.0004732966423034668
65	chr1	39550000	350	4	39544586-39544605	39540000	-	39544586	39544605	82	0.1736328125	0.1859375	0.16091766357421874	0.00015645623207092286	-0.00017511844635009766	0.1777557373046875	0.1451263427734375	0.122967529296875	0.00042216181755065917	0.0005470991134643554
65	chr1	39550000	352	4	39547425-39547444	39540000	+	39547425	39547444	83	0.55811767578125	0.3748291015625	0.15936813354492188	0.00010642409324645996	-0.00024773478507995607	0.36275634765625	0.759033203125	0.11712646484375	0.00015175342559814453	5.369186401367187e-05
66	chr1	40000000	355	3	39990443-39990462	39990000	+	39990443	39990462	84	0.42314453125	0.542626953125	0.15952377319335936	0.00021358728408813477	-3.883242607116699e-05	0.24202880859375	0.185107421875	0.12066802978515626	0.0003303945064544678	0.00043102502822875974
66	chr1	40000000	357	3	39999917-39999936	39990000	-	39999917	39999936	85	0.809716796875	0.600830078125	0.156976318359375	0.0002191901206970215	-4.1317939758300784e-05	0.5797607421875	0.4283203125	0.12010650634765625	0.0004311442375183105	0.00047363638877868653
67	chr1	40860000	360	4	40854800-40854819	40850000	-	40854800	40854819	86	0.2186279296875	0.1637939453125	0.16162948608398436	0.00023492574691772461	-4.079937934875488e-05	0.17906494140625	0.197589111328125	0.12293701171875	0.0004321455955505371	0.000563669204711914
67	chr1	40860000	361	4	40856178-40856197	40850000	-	40856178	40856197	87	1.721142578125	1.13916015625	0.152630615234375	0.00011540651321411133	-0.00018219947814941407	0.3533447265625	0.502001953125	0.11853485107421875	0.00025570988655090334	0.0001913905143737793
67	chr1	40860000	362	4	40857938-40857957	40850000	-	40857938	40857957	88	1.49111328125	1.11328125	0.153045654296875	9.480118751525879e-05	-0.00017722249031066896	0.7220947265625	0.776806640625	0.1140960693359375	0.00017331838607788087	-1.3446807861328125e-05
68	chr1	41150000	366	1	41149884-41149903	41140000	-	41149884	41149903	89	3.64853515625	2.3810546875	0.1439807891845703	0.00021936297416687013	-5.919337272644043e-05	3.3353515625	1.870947265625	0.09719009399414062	-0.00020481348037719725	-0.0009953975677490234
70	chr1	42710000	369	2	42706885-42706904	42700000	+	42706885	42706904	90	0.202447509765625	0.218634033203125	0.16002426147460938	0.00018483996391296386	-0.00010973811149597167	0.21685791015625	0.208673095703125	0.122821044921875	0.0005021512508392334	0.0006018757820129394
70	chr1	42710000	370	2	42707159-42707178	42700000	+	42707159	42707178	91	0.273236083984375	0.23214111328125	0.16073532104492189	0.00020444393157958984	-9.183287620544434e-05	0.271685791015625	0.191387939453125	0.12293853759765624	0.00045183300971984863	0.0005582571029663086
74	chr1	44200000	387	4	44198541-44198560	44190000	+	44198541	44198560	92	0.6077880859375	0.766796875	0.15651016235351561	3.270506858825684e-05	-0.00030262470245361327	0.6754150390625	0.3271240234375	0.11865997314453125	0.00017455816268920898	0.0002074599266052246
74	chr1	44200000	388	4	44199081-44199100	44190000	+	44199081	44199100	93	0.17740478515625	0.22420654296875	0.15931777954101561	0.0001517951488494873	-0.00015255212783813477	0.215496826171875	0.1909423828125	0.12119293212890625	0.0004002630710601807	0.0004806041717529297
75	chr1	44750000	391	3	44741453-44741472	44740000	-	44741453	44741472	94	20.55	16.32109375	0.2251373291015625	0.009732627868652343	0.012770366668701173	8.7240234375	10.86640625	0.08556671142578125	0.0022324085235595702	0.0026825666427612305
75	chr1	44750000	392	3	44745863-44745882	44740000	+	44745863	44745882	95	56.6375	60.309375	11.181640625	0.6532958984375	0.8946044921875	41.9	44.9796875	6.48798828125	0.401898193359375	0.53623046875
78	chr1	46100000	399	1	46097337-46097356	46090000	+	46097337	46097356	96	0.3007080078125	0.2886474609375	0.16028518676757814	0.00019453763961791993	-0.0001148521900177002	0.1867401123046875	0.215191650390625	0.12162017822265625	0.00036786794662475587	0.0004663348197937012
80	chr1	46770000	403	4	46760030-46760049	46760000	+	46760030	46760049	97	0.2026123046875	0.249560546875	0.16158523559570312	0.00013629794120788573	-0.00019714832305908203	0.2560791015625	0.165716552734375	0.12290191650390625	0.0004240095615386963	0.0005309462547302246
80	chr1	46770000	404	4	46769142-46769161	46760000	-	46769142	46769161	98	0.172015380859375	0.163275146484375	0.16149520874023438	0.000203782320022583	-8.516907691955567e-05	0.1372833251953125	0.1354888916015625	0.12217864990234376	0.0003982424736022949	0.0005012869834899903
86	chr1	50930000	432	5	50925538-50925557	50920000	-	50925538	50925557	99	0.5334228515625	0.64150390625	0.158258056640625	4.3565034866333006e-05	-0.0002917766571044922	0.4260986328125	0.600732421875	0.11614837646484374	0.0001394212245941162	4.393458366394043e-05
86	chr1	50930000	433	5	50926482-50926501	50920000	-	50926482	50926501	100	0.31630859375	0.23057861328125	0.16088790893554689	0.0002254486083984375	-7.916092872619628e-05	0.22115478515625	0.19776611328125	0.12152557373046875	0.0003698587417602539	0.00047637224197387694
86	chr1	50930000	434	5	50927230-50927249	50920000	+	50927230	50927249	101	8.39140625	6.15625	0.1182769775390625	0.00013668537139892577	-0.00015952587127685547	7.0435546875	6.1173828125	0.08548736572265625	0.0009519219398498535	0.0008042633533477783
88	chr1	51640000	439	2	51639053-51639072	51630000	+	51639053	51639072	102	7.676171875	6.299609375	0.10895118713378907	3.0040740966796875e-05	-0.000433957576751709	4.0064453125	3.843359375	0.07382049560546874	-0.0006399333477020263	-0.0016998052597045898
88	chr1	51640000	440	2	51639162-51639181	51630000	-	51639162	51639181	103	2.03212890625	1.3341796875	0.1544921875	3.510117530822754e-05	-0.00028269290924072267	0.8899169921875	2.16962890625	0.0966461181640625	-0.00012376904487609863	-0.0007064580917358398
89	chr1	52130000	444	2	52129240-52129259	52120000	+	52129240	52129259	104	0.164007568359375	0.17244873046875	0.16128768920898437	0.00017582178115844728	-0.00013897418975830078	0.2462646484375	0.1865478515625	0.1223236083984375	0.000411301851272583	0.000522446632385254
90	chr1	52640000	448	6	52630617-52630636	52630000	-	52630617	52630636	105	15.81328125	13.55703125	0.25657806396484373	0.011751389503479004	0.014923286437988282	9.417578125	14.24296875	0.35362548828125	0.022086620330810547	0.028335046768188477
90	chr1	52640000	449	6	52635530-52635549	52630000	+	52635530	52635549	106	1.049609375	0.7729736328125	0.15692367553710937	0.00021736621856689454	4.57763671875e-06	0.667138671875	0.57315673828125	0.11716766357421875	0.0002222597599029541	0.0001581430435180664
91	chr1	53040000	455	6	53032755-53032774	53030000	-	53032755	53032774	107	12.873046875	13.788671875	0.19049072265625	0.0073288679122924805	0.00953369140625	14.48671875	14.41171875	0.203265380859375	0.011005467176437378	0.014536619186401367
91	chr1	53040000	456	6	53033229-53033248	53030000	-	53033229	53033248	108	0.32845458984375	0.232568359375	0.16110992431640625	0.00021879673004150392	-9.295940399169921e-05	0.225128173828125	0.195953369140625	0.12172088623046876	0.00036745667457580564	0.00048197507858276366
91	chr1	53040000	457	6	53033377-53033396	53030000	+	53033377	53033396	109	0.55611572265625	0.540673828125	0.15849685668945312	0.0001242339611053467	-0.0001667916774749756	0.25626220703125	0.285009765625	0.11933135986328125	0.00023663640022277831	0.0002656698226928711
