experiment_id	chrom	start	end	strand	genomic_SCD	orientation	background_index	flank_bp	spacer_bp
84	chr1	120586652	120586671	+	43.1	<>	3	20	0
85	chr17	42603598	42603617	-	43.06	<>	3	20	0
86	chr8	50293731	50293750	-	42.88	<>	3	20	0
87	chr1	5905000	5905019	-	42.8	<>	3	20	0
88	chr16	27468962	27468981	+	42.75	<>	3	20	0
89	chr15	70921072	70921091	-	42.62	<>	3	20	0
90	chr8	91797706	91797725	+	42.6	<>	3	20	0
91	chr3	80079950	80079969	+	42.5	<>	3	20	0
92	chr18	16211890	16211909	-	42.47	<>	3	20	0
93	chr3	113080921	113080940	-	42.47	<>	3	20	0
94	chr2	17415562	17415581	-	42.34	<>	3	20	0
95	chr7	49121484	49121503	-	42.3	<>	3	20	0
96	chr18	16211892	16211911	+	42.3	<>	3	20	0
97	chr8	26184368	26184387	+	42.22	<>	3	20	0
98	chr2	37815860	37815879	+	42.2	<>	3	20	0
99	chr6	6005818	6005837	+	42.06	<>	3	20	0
100	chr12	35192361	35192380	+	53.78	<>	4	20	0
101	chr2	48886252	48886271	-	53.7	<>	4	20	0
102	chr12	35192359	35192378	-	53.66	<>	4	20	0
103	chr8	102781112	102781131	-	53.5	<>	4	20	0
104	chr5	49961991	49962010	-	53.3	<>	4	20	0
105	chr9	26776356	26776375	-	53.12	<>	4	20	0
106	chr9	51152589	51152608	-	53.06	<>	4	20	0
107	chr8	58566264	58566283	+	52.88	<>	4	20	0
108	chr12	40837731	40837750	+	52.84	<>	4	20	0
109	chr8	36523116	36523135	-	52.5	<>	4	20	0
110	chr6	101261721	101261740	-	52.5	<>	4	20	0
111	chr11	57467954	57467973	-	52.38	<>	4	20	0
112	chr4	70621534	70621553	-	52.28	<>	4	20	0
113	chr2	101905952	101905971	+	52.25	<>	4	20	0
114	chr13	19698902	19698921	+	51.94	<>	4	20	0
115	chr16	13117402	13117421	+	51.94	<>	4	20	0
116	chr9	63136044	63136063	+	51.75	<>	4	20	0
117	chr12	92303369	92303388	+	51.62	<>	4	20	0
118	chr11	31949597	31949616	-	51.56	<>	4	20	0
119	chr9	49494116	49494135	+	51.2	<>	4	20	0
120	chr12	17554295	17554314	+	51.2	<>	4	20	0
121	chr9	88222169	88222188	-	51.16	<>	4	20	0
122	chr1	55404542	55404561	+	51.12	<>	4	20	0
123	chr12	57825931	57825950	+	51.06	<>	4	20	0
124	chr3	57843966	57843985	+	50.94	<>	4	20	0
125	chr16	22564764	22564783	+	50.8	<>	4	20	0
126	chr7	132213675	132213694	-	50.6	<>	4	20	0
127	chr16	72215914	72215933	-	50.38	<>	4	20	0
128	chr18	16217031	16217050	+	50.2	<>	4	20	0
129	chr11	113165297	113165316	-	50.12	<>	4	20	0
130	chr14	34810922	34810941	+	49.88	<>	4	20	0
131	chr17	83271677	83271696	+	49.25	<>	4	20	0
132	chr12	78056172	78056191	+	49.12	<>	4	20	0
133	chr16	89765679	89765698	-	49.0	<>	4	20	0
134	chr13	112264852	112264871	-	48.94	<>	4	20	0
135	chr13	112264855	112264874	-	48.88	<>	4	20	0
136	chr2	118638274	118638293	+	48.7	<>	4	20	0
137	chr15	32766466	32766485	-	48.47	<>	4	20	0
138	chr1	21411386	21411405	+	48.44	<>	4	20	0
139	chr6	43686121	43686140	+	48.3	<>	4	20	0
140	chr13	30260113	30260132	-	48.25	<>	4	20	0
141	chr9	60245108	60245127	+	47.97	<>	4	20	0
142	chr1	103799500	103799519	+	47.94	<>	4	20	0
143	chr7	86211545	86211564	-	47.94	<>	4	20	0
144	chr11	40149490	40149509	-	47.47	<>	4	20	0
145	chr11	25862970	25862989	-	47.2	<>	4	20	0
146	chr16	72218208	72218227	+	47.12	<>	4	20	0
147	chr15	44836383	44836402	+	47.12	<>	4	20	0
148	chr16	64748436	64748455	-	47.0	<>	4	20	0
149	chr3	14679375	14679394	+	46.8	<>	4	20	0
150	chr17	86906315	86906334	-	46.8	<>	4	20	0
151	chr18	57976796	57976815	+	46.8	<>	4	20	0
152	chr6	13281045	13281064	-	46.75	<>	4	20	0
153	chr12	17554309	17554328	-	46.62	<>	4	20	0
154	chr3	68056531	68056550	+	46.62	<>	4	20	0
155	chr3	9711102	9711121	+	46.56	<>	4	20	0
156	chr16	37109440	37109459	+	46.34	<>	4	20	0
157	chr16	96671788	96671807	-	46.06	<>	4	20	0
158	chr3	153655299	153655318	-	46.06	<>	4	20	0
159	chr18	58481865	58481884	-	45.88	<>	4	20	0
160	chr7	125393828	125393847	-	45.75	<>	4	20	0
161	chr16	25349805	25349824	-	45.62	<>	4	20	0
162	chr4	74231656	74231675	-	45.38	<>	4	20	0
163	chr4	74231658	74231677	+	45.22	<>	4	20	0
164	chr13	89543209	89543228	-	45.2	<>	4	20	0
165	chr1	179477243	179477262	-	45.0	<>	4	20	0
166	chr4	127368529	127368548	+	44.75	<>	4	20	0
167	chr3	25220803	25220822	-	44.62	<>	4	20	0
168	chr12	41487217	41487236	-	44.56	<>	4	20	0
169	chr14	102510621	102510640	-	44.4	<>	4	20	0
170	chr4	25180062	25180081	-	44.38	<>	4	20	0
171	chr3	31146116	31146135	+	44.2	<>	4	20	0
172	chr16	58299639	58299658	+	44.12	<>	4	20	0
173	chr5	16309782	16309801	+	43.94	<>	4	20	0
174	chr7	118102436	118102455	-	43.88	<>	4	20	0
175	chr5	16309780	16309799	-	43.75	<>	4	20	0
176	chr13	51830906	51830925	+	43.62	<>	4	20	0
177	chr6	100882571	100882590	+	43.6	<>	4	20	0
178	chr1	54381456	54381475	-	43.56	<>	4	20	0
179	chr7	143153991	143154010	+	43.38	<>	4	20	0
180	chr9	122729740	122729759	-	43.3	<>	4	20	0
181	chr2	113494885	113494904	+	43.2	<>	4	20	0
182	chr13	113877596	113877615	+	43.12	<>	4	20	0
183	chr12	74013946	74013965	-	43.12	<>	4	20	0
184	chr1	120586652	120586671	+	43.1	<>	4	20	0
185	chr17	42603598	42603617	-	43.06	<>	4	20	0
186	chr8	50293731	50293750	-	42.88	<>	4	20	0
187	chr1	5905000	5905019	-	42.8	<>	4	20	0
188	chr16	27468962	27468981	+	42.75	<>	4	20	0
189	chr15	70921072	70921091	-	42.62	<>	4	20	0
190	chr8	91797706	91797725	+	42.6	<>	4	20	0
191	chr3	80079950	80079969	+	42.5	<>	4	20	0
192	chr18	16211890	16211909	-	42.47	<>	4	20	0
193	chr3	113080921	113080940	-	42.47	<>	4	20	0
194	chr2	17415562	17415581	-	42.34	<>	4	20	0
195	chr7	49121484	49121503	-	42.3	<>	4	20	0
196	chr18	16211892	16211911	+	42.3	<>	4	20	0
197	chr8	26184368	26184387	+	42.22	<>	4	20	0
198	chr2	37815860	37815879	+	42.2	<>	4	20	0
199	chr6	6005818	6005837	+	42.06	<>	4	20	0
200	chr12	35192361	35192380	+	53.78	<>	3	20	1
201	chr2	48886252	48886271	-	53.7	<>	3	20	1
202	chr12	35192359	35192378	-	53.66	<>	3	20	1
203	chr8	102781112	102781131	-	53.5	<>	3	20	1
204	chr5	49961991	49962010	-	53.3	<>	3	20	1
205	chr9	26776356	26776375	-	53.12	<>	3	20	1
206	chr9	51152589	51152608	-	53.06	<>	3	20	1
207	chr8	58566264	58566283	+	52.88	<>	3	20	1
208	chr12	40837731	40837750	+	52.84	<>	3	20	1
209	chr8	36523116	36523135	-	52.5	<>	3	20	1
210	chr6	101261721	101261740	-	52.5	<>	3	20	1
211	chr11	57467954	57467973	-	52.38	<>	3	20	1
212	chr4	70621534	70621553	-	52.28	<>	3	20	1
213	chr2	101905952	101905971	+	52.25	<>	3	20	1
214	chr13	19698902	19698921	+	51.94	<>	3	20	1
215	chr16	13117402	13117421	+	51.94	<>	3	20	1
216	chr9	63136044	63136063	+	51.75	<>	3	20	1
217	chr12	92303369	92303388	+	51.62	<>	3	20	1
218	chr11	31949597	31949616	-	51.56	<>	3	20	1
219	chr9	49494116	49494135	+	51.2	<>	3	20	1
220	chr12	17554295	17554314	+	51.2	<>	3	20	1
221	chr9	88222169	88222188	-	51.16	<>	3	20	1
222	chr1	55404542	55404561	+	51.12	<>	3	20	1
223	chr12	57825931	57825950	+	51.06	<>	3	20	1
224	chr3	57843966	57843985	+	50.94	<>	3	20	1
225	chr16	22564764	22564783	+	50.8	<>	3	20	1
226	chr7	132213675	132213694	-	50.6	<>	3	20	1
227	chr16	72215914	72215933	-	50.38	<>	3	20	1
228	chr18	16217031	16217050	+	50.2	<>	3	20	1
229	chr11	113165297	113165316	-	50.12	<>	3	20	1
230	chr14	34810922	34810941	+	49.88	<>	3	20	1
231	chr17	83271677	83271696	+	49.25	<>	3	20	1
232	chr12	78056172	78056191	+	49.12	<>	3	20	1
233	chr16	89765679	89765698	-	49.0	<>	3	20	1
234	chr13	112264852	112264871	-	48.94	<>	3	20	1
235	chr13	112264855	112264874	-	48.88	<>	3	20	1
236	chr2	118638274	118638293	+	48.7	<>	3	20	1
237	chr15	32766466	32766485	-	48.47	<>	3	20	1
238	chr1	21411386	21411405	+	48.44	<>	3	20	1
239	chr6	43686121	43686140	+	48.3	<>	3	20	1
240	chr13	30260113	30260132	-	48.25	<>	3	20	1
241	chr9	60245108	60245127	+	47.97	<>	3	20	1
242	chr1	103799500	103799519	+	47.94	<>	3	20	1
243	chr7	86211545	86211564	-	47.94	<>	3	20	1
244	chr11	40149490	40149509	-	47.47	<>	3	20	1
245	chr11	25862970	25862989	-	47.2	<>	3	20	1
246	chr16	72218208	72218227	+	47.12	<>	3	20	1
247	chr15	44836383	44836402	+	47.12	<>	3	20	1
248	chr16	64748436	64748455	-	47.0	<>	3	20	1
249	chr3	14679375	14679394	+	46.8	<>	3	20	1
250	chr17	86906315	86906334	-	46.8	<>	3	20	1
251	chr18	57976796	57976815	+	46.8	<>	3	20	1
252	chr6	13281045	13281064	-	46.75	<>	3	20	1
253	chr12	17554309	17554328	-	46.62	<>	3	20	1
254	chr3	68056531	68056550	+	46.62	<>	3	20	1
255	chr3	9711102	9711121	+	46.56	<>	3	20	1
256	chr16	37109440	37109459	+	46.34	<>	3	20	1
257	chr16	96671788	96671807	-	46.06	<>	3	20	1
258	chr3	153655299	153655318	-	46.06	<>	3	20	1
259	chr18	58481865	58481884	-	45.88	<>	3	20	1
260	chr7	125393828	125393847	-	45.75	<>	3	20	1
261	chr16	25349805	25349824	-	45.62	<>	3	20	1
262	chr4	74231656	74231675	-	45.38	<>	3	20	1
263	chr4	74231658	74231677	+	45.22	<>	3	20	1
264	chr13	89543209	89543228	-	45.2	<>	3	20	1
265	chr1	179477243	179477262	-	45.0	<>	3	20	1
266	chr4	127368529	127368548	+	44.75	<>	3	20	1
267	chr3	25220803	25220822	-	44.62	<>	3	20	1
268	chr12	41487217	41487236	-	44.56	<>	3	20	1
269	chr14	102510621	102510640	-	44.4	<>	3	20	1
270	chr4	25180062	25180081	-	44.38	<>	3	20	1
271	chr3	31146116	31146135	+	44.2	<>	3	20	1
272	chr16	58299639	58299658	+	44.12	<>	3	20	1
273	chr5	16309782	16309801	+	43.94	<>	3	20	1
274	chr7	118102436	118102455	-	43.88	<>	3	20	1
275	chr5	16309780	16309799	-	43.75	<>	3	20	1
276	chr13	51830906	51830925	+	43.62	<>	3	20	1
277	chr6	100882571	100882590	+	43.6	<>	3	20	1
278	chr1	54381456	54381475	-	43.56	<>	3	20	1
279	chr7	143153991	143154010	+	43.38	<>	3	20	1
280	chr9	122729740	122729759	-	43.3	<>	3	20	1
281	chr2	113494885	113494904	+	43.2	<>	3	20	1
282	chr13	113877596	113877615	+	43.12	<>	3	20	1
283	chr12	74013946	74013965	-	43.12	<>	3	20	1
284	chr1	120586652	120586671	+	43.1	<>	3	20	1
285	chr17	42603598	42603617	-	43.06	<>	3	20	1
286	chr8	50293731	50293750	-	42.88	<>	3	20	1
287	chr1	5905000	5905019	-	42.8	<>	3	20	1
288	chr16	27468962	27468981	+	42.75	<>	3	20	1
289	chr15	70921072	70921091	-	42.62	<>	3	20	1
290	chr8	91797706	91797725	+	42.6	<>	3	20	1
291	chr3	80079950	80079969	+	42.5	<>	3	20	1
292	chr18	16211890	16211909	-	42.47	<>	3	20	1
293	chr3	113080921	113080940	-	42.47	<>	3	20	1
294	chr2	17415562	17415581	-	42.34	<>	3	20	1
295	chr7	49121484	49121503	-	42.3	<>	3	20	1
296	chr18	16211892	16211911	+	42.3	<>	3	20	1
297	chr8	26184368	26184387	+	42.22	<>	3	20	1
298	chr2	37815860	37815879	+	42.2	<>	3	20	1
299	chr6	6005818	6005837	+	42.06	<>	3	20	1
300	chr12	35192361	35192380	+	53.78	<>	4	20	1
301	chr2	48886252	48886271	-	53.7	<>	4	20	1
302	chr12	35192359	35192378	-	53.66	<>	4	20	1
303	chr8	102781112	102781131	-	53.5	<>	4	20	1
304	chr5	49961991	49962010	-	53.3	<>	4	20	1
305	chr9	26776356	26776375	-	53.12	<>	4	20	1
306	chr9	51152589	51152608	-	53.06	<>	4	20	1
307	chr8	58566264	58566283	+	52.88	<>	4	20	1
308	chr12	40837731	40837750	+	52.84	<>	4	20	1
309	chr8	36523116	36523135	-	52.5	<>	4	20	1
310	chr6	101261721	101261740	-	52.5	<>	4	20	1
311	chr11	57467954	57467973	-	52.38	<>	4	20	1
312	chr4	70621534	70621553	-	52.28	<>	4	20	1
313	chr2	101905952	101905971	+	52.25	<>	4	20	1
314	chr13	19698902	19698921	+	51.94	<>	4	20	1
315	chr16	13117402	13117421	+	51.94	<>	4	20	1
316	chr9	63136044	63136063	+	51.75	<>	4	20	1
317	chr12	92303369	92303388	+	51.62	<>	4	20	1
318	chr11	31949597	31949616	-	51.56	<>	4	20	1
319	chr9	49494116	49494135	+	51.2	<>	4	20	1
320	chr12	17554295	17554314	+	51.2	<>	4	20	1
321	chr9	88222169	88222188	-	51.16	<>	4	20	1
322	chr1	55404542	55404561	+	51.12	<>	4	20	1
323	chr12	57825931	57825950	+	51.06	<>	4	20	1
324	chr3	57843966	57843985	+	50.94	<>	4	20	1
325	chr16	22564764	22564783	+	50.8	<>	4	20	1
326	chr7	132213675	132213694	-	50.6	<>	4	20	1
327	chr16	72215914	72215933	-	50.38	<>	4	20	1
328	chr18	16217031	16217050	+	50.2	<>	4	20	1
329	chr11	113165297	113165316	-	50.12	<>	4	20	1
330	chr14	34810922	34810941	+	49.88	<>	4	20	1
331	chr17	83271677	83271696	+	49.25	<>	4	20	1
332	chr12	78056172	78056191	+	49.12	<>	4	20	1
333	chr16	89765679	89765698	-	49.0	<>	4	20	1
334	chr13	112264852	112264871	-	48.94	<>	4	20	1
335	chr13	112264855	112264874	-	48.88	<>	4	20	1
336	chr2	118638274	118638293	+	48.7	<>	4	20	1
337	chr15	32766466	32766485	-	48.47	<>	4	20	1
338	chr1	21411386	21411405	+	48.44	<>	4	20	1
339	chr6	43686121	43686140	+	48.3	<>	4	20	1
340	chr13	30260113	30260132	-	48.25	<>	4	20	1
341	chr9	60245108	60245127	+	47.97	<>	4	20	1
342	chr1	103799500	103799519	+	47.94	<>	4	20	1
343	chr7	86211545	86211564	-	47.94	<>	4	20	1
344	chr11	40149490	40149509	-	47.47	<>	4	20	1
345	chr11	25862970	25862989	-	47.2	<>	4	20	1
346	chr16	72218208	72218227	+	47.12	<>	4	20	1
347	chr15	44836383	44836402	+	47.12	<>	4	20	1
348	chr16	64748436	64748455	-	47.0	<>	4	20	1
349	chr3	14679375	14679394	+	46.8	<>	4	20	1
350	chr17	86906315	86906334	-	46.8	<>	4	20	1
351	chr18	57976796	57976815	+	46.8	<>	4	20	1
352	chr6	13281045	13281064	-	46.75	<>	4	20	1
353	chr12	17554309	17554328	-	46.62	<>	4	20	1
354	chr3	68056531	68056550	+	46.62	<>	4	20	1
355	chr3	9711102	9711121	+	46.56	<>	4	20	1
356	chr16	37109440	37109459	+	46.34	<>	4	20	1
357	chr16	96671788	96671807	-	46.06	<>	4	20	1
358	chr3	153655299	153655318	-	46.06	<>	4	20	1
359	chr18	58481865	58481884	-	45.88	<>	4	20	1
360	chr7	125393828	125393847	-	45.75	<>	4	20	1
361	chr16	25349805	25349824	-	45.62	<>	4	20	1
362	chr4	74231656	74231675	-	45.38	<>	4	20	1
363	chr4	74231658	74231677	+	45.22	<>	4	20	1
364	chr13	89543209	89543228	-	45.2	<>	4	20	1
365	chr1	179477243	179477262	-	45.0	<>	4	20	1
366	chr4	127368529	127368548	+	44.75	<>	4	20	1
367	chr3	25220803	25220822	-	44.62	<>	4	20	1
368	chr12	41487217	41487236	-	44.56	<>	4	20	1
369	chr14	102510621	102510640	-	44.4	<>	4	20	1
370	chr4	25180062	25180081	-	44.38	<>	4	20	1
371	chr3	31146116	31146135	+	44.2	<>	4	20	1
372	chr16	58299639	58299658	+	44.12	<>	4	20	1
373	chr5	16309782	16309801	+	43.94	<>	4	20	1
374	chr7	118102436	118102455	-	43.88	<>	4	20	1
375	chr5	16309780	16309799	-	43.75	<>	4	20	1
376	chr13	51830906	51830925	+	43.62	<>	4	20	1
377	chr6	100882571	100882590	+	43.6	<>	4	20	1
378	chr1	54381456	54381475	-	43.56	<>	4	20	1
379	chr7	143153991	143154010	+	43.38	<>	4	20	1
380	chr9	122729740	122729759	-	43.3	<>	4	20	1
381	chr2	113494885	113494904	+	43.2	<>	4	20	1
382	chr13	113877596	113877615	+	43.12	<>	4	20	1
383	chr12	74013946	74013965	-	43.12	<>	4	20	1
384	chr1	120586652	120586671	+	43.1	<>	4	20	1
385	chr17	42603598	42603617	-	43.06	<>	4	20	1
386	chr8	50293731	50293750	-	42.88	<>	4	20	1
387	chr1	5905000	5905019	-	42.8	<>	4	20	1
388	chr16	27468962	27468981	+	42.75	<>	4	20	1
389	chr15	70921072	70921091	-	42.62	<>	4	20	1
390	chr8	91797706	91797725	+	42.6	<>	4	20	1
391	chr3	80079950	80079969	+	42.5	<>	4	20	1
392	chr18	16211890	16211909	-	42.47	<>	4	20	1
393	chr3	113080921	113080940	-	42.47	<>	4	20	1
394	chr2	17415562	17415581	-	42.34	<>	4	20	1
395	chr7	49121484	49121503	-	42.3	<>	4	20	1
396	chr18	16211892	16211911	+	42.3	<>	4	20	1
397	chr8	26184368	26184387	+	42.22	<>	4	20	1
398	chr2	37815860	37815879	+	42.2	<>	4	20	1
399	chr6	6005818	6005837	+	42.06	<>	4	20	1
400	chr12	35192361	35192380	+	53.78	<>	3	20	2
401	chr2	48886252	48886271	-	53.7	<>	3	20	2
402	chr12	35192359	35192378	-	53.66	<>	3	20	2
403	chr8	102781112	102781131	-	53.5	<>	3	20	2
404	chr5	49961991	49962010	-	53.3	<>	3	20	2
405	chr9	26776356	26776375	-	53.12	<>	3	20	2
406	chr9	51152589	51152608	-	53.06	<>	3	20	2
407	chr8	58566264	58566283	+	52.88	<>	3	20	2
408	chr12	40837731	40837750	+	52.84	<>	3	20	2
409	chr8	36523116	36523135	-	52.5	<>	3	20	2
410	chr6	101261721	101261740	-	52.5	<>	3	20	2
411	chr11	57467954	57467973	-	52.38	<>	3	20	2
412	chr4	70621534	70621553	-	52.28	<>	3	20	2
413	chr2	101905952	101905971	+	52.25	<>	3	20	2
414	chr13	19698902	19698921	+	51.94	<>	3	20	2
415	chr16	13117402	13117421	+	51.94	<>	3	20	2
416	chr9	63136044	63136063	+	51.75	<>	3	20	2
417	chr12	92303369	92303388	+	51.62	<>	3	20	2
418	chr11	31949597	31949616	-	51.56	<>	3	20	2
419	chr9	49494116	49494135	+	51.2	<>	3	20	2
420	chr12	17554295	17554314	+	51.2	<>	3	20	2
421	chr9	88222169	88222188	-	51.16	<>	3	20	2
422	chr1	55404542	55404561	+	51.12	<>	3	20	2
423	chr12	57825931	57825950	+	51.06	<>	3	20	2
424	chr3	57843966	57843985	+	50.94	<>	3	20	2
425	chr16	22564764	22564783	+	50.8	<>	3	20	2
426	chr7	132213675	132213694	-	50.6	<>	3	20	2
427	chr16	72215914	72215933	-	50.38	<>	3	20	2
428	chr18	16217031	16217050	+	50.2	<>	3	20	2
429	chr11	113165297	113165316	-	50.12	<>	3	20	2
430	chr14	34810922	34810941	+	49.88	<>	3	20	2
431	chr17	83271677	83271696	+	49.25	<>	3	20	2
432	chr12	78056172	78056191	+	49.12	<>	3	20	2
433	chr16	89765679	89765698	-	49.0	<>	3	20	2
434	chr13	112264852	112264871	-	48.94	<>	3	20	2
435	chr13	112264855	112264874	-	48.88	<>	3	20	2
436	chr2	118638274	118638293	+	48.7	<>	3	20	2
437	chr15	32766466	32766485	-	48.47	<>	3	20	2
438	chr1	21411386	21411405	+	48.44	<>	3	20	2
439	chr6	43686121	43686140	+	48.3	<>	3	20	2
440	chr13	30260113	30260132	-	48.25	<>	3	20	2
441	chr9	60245108	60245127	+	47.97	<>	3	20	2
442	chr1	103799500	103799519	+	47.94	<>	3	20	2
443	chr7	86211545	86211564	-	47.94	<>	3	20	2
444	chr11	40149490	40149509	-	47.47	<>	3	20	2
445	chr11	25862970	25862989	-	47.2	<>	3	20	2
446	chr16	72218208	72218227	+	47.12	<>	3	20	2
447	chr15	44836383	44836402	+	47.12	<>	3	20	2
448	chr16	64748436	64748455	-	47.0	<>	3	20	2
449	chr3	14679375	14679394	+	46.8	<>	3	20	2
450	chr17	86906315	86906334	-	46.8	<>	3	20	2
451	chr18	57976796	57976815	+	46.8	<>	3	20	2
452	chr6	13281045	13281064	-	46.75	<>	3	20	2
453	chr12	17554309	17554328	-	46.62	<>	3	20	2
454	chr3	68056531	68056550	+	46.62	<>	3	20	2
455	chr3	9711102	9711121	+	46.56	<>	3	20	2
456	chr16	37109440	37109459	+	46.34	<>	3	20	2
457	chr16	96671788	96671807	-	46.06	<>	3	20	2
458	chr3	153655299	153655318	-	46.06	<>	3	20	2
459	chr18	58481865	58481884	-	45.88	<>	3	20	2
460	chr7	125393828	125393847	-	45.75	<>	3	20	2
461	chr16	25349805	25349824	-	45.62	<>	3	20	2
462	chr4	74231656	74231675	-	45.38	<>	3	20	2
463	chr4	74231658	74231677	+	45.22	<>	3	20	2
464	chr13	89543209	89543228	-	45.2	<>	3	20	2
465	chr1	179477243	179477262	-	45.0	<>	3	20	2
466	chr4	127368529	127368548	+	44.75	<>	3	20	2
467	chr3	25220803	25220822	-	44.62	<>	3	20	2
468	chr12	41487217	41487236	-	44.56	<>	3	20	2
469	chr14	102510621	102510640	-	44.4	<>	3	20	2
470	chr4	25180062	25180081	-	44.38	<>	3	20	2
471	chr3	31146116	31146135	+	44.2	<>	3	20	2
472	chr16	58299639	58299658	+	44.12	<>	3	20	2
473	chr5	16309782	16309801	+	43.94	<>	3	20	2
474	chr7	118102436	118102455	-	43.88	<>	3	20	2
475	chr5	16309780	16309799	-	43.75	<>	3	20	2
476	chr13	51830906	51830925	+	43.62	<>	3	20	2
477	chr6	100882571	100882590	+	43.6	<>	3	20	2
478	chr1	54381456	54381475	-	43.56	<>	3	20	2
