chrom	start	end	span	score_2	strand_2	num_ctcf	log2_insulation_score_200000	boundary_strength_200000	boundary_index	index
chr1	9110000	9120000	9112531-9112550	805.0	-	7	-0.2222	0.358	15	144
chr1	9110000	9120000	9114103-9114122	817.0	+	7	-0.2222	0.358	15	145
chr1	9110000	9120000	9114248-9114267	828.0	+	7	-0.2222	0.358	15	146
chr1	9110000	9120000	9119475-9119494	802.0	-	7	-0.2222	0.358	15	147
chr1	9110000	9120000	9110927-9110946,9111889-9111908,9112202-9112221,9112531-9112550,9114103-9114122,9114248-9114267,9119475-9119494			7	-0.2222	0.358	15	148
chr1	9110000	9120000	9110000-9120000			7	-0.2222	0.358	15	149
chr1	9250000	9260000	9250218-9250237	870.0	-	5	-0.359	0.74	16	150
chr1	9250000	9260000	9251330-9251349	816.0	-	5	-0.359	0.74	16	151
chr1	9250000	9260000	9251661-9251680	823.0	+	5	-0.359	0.74	16	152
chr1	9250000	9260000	9251920-9251939	800.0	+	5	-0.359	0.74	16	153
chr1	9250000	9260000	9257589-9257608	801.0	+	5	-0.359	0.74	16	154
chr1	9250000	9260000	9250218-9250237,9251330-9251349,9251661-9251680,9251920-9251939,9257589-9257608			5	-0.359	0.74	16	155
chr1	9250000	9260000	9250000-9260000			5	-0.359	0.74	16	156
chr1	9590000	9600000	9590563-9590582	810.0	-	11	-0.6587	1.123	17	157
chr1	9590000	9600000	9590665-9590684	803.0	-	11	-0.6587	1.123	17	158
chr1	9590000	9600000	9590771-9590790	856.0	-	11	-0.6587	1.123	17	159
chr1	9590000	9600000	9591846-9591865	806.0	-	11	-0.6587	1.123	17	160
chr1	9590000	9600000	9593442-9593461	840.0	+	11	-0.6587	1.123	17	161
chr1	9590000	9600000	9594030-9594049	810.0	+	11	-0.6587	1.123	17	162
chr1	9590000	9600000	9595540-9595559	826.0	+	11	-0.6587	1.123	17	163
chr1	9590000	9600000	9595722-9595741	823.0	-	11	-0.6587	1.123	17	164
chr1	9590000	9600000	9595834-9595853	804.0	+	11	-0.6587	1.123	17	165
chr1	9590000	9600000	9597446-9597465	801.0	-	11	-0.6587	1.123	17	166
chr1	9590000	9600000	9597448-9597467	816.0	+	11	-0.6587	1.123	17	167
chr1	9590000	9600000	9590563-9590582,9590665-9590684,9590771-9590790,9591846-9591865,9593442-9593461,9594030-9594049,9595540-9595559,9595722-9595741,9595834-9595853,9597446-9597465,9597448-9597467			11	-0.6587	1.123	17	168
chr1	9590000	9600000	9590000-9600000			11	-0.6587	1.123	17	169
chr1	9930000	9940000	9930798-9930817	800.0	-	4	-0.2275	0.688	18	170
chr1	9930000	9940000	9930909-9930928	802.0	-	4	-0.2275	0.688	18	171
chr1	9930000	9940000	9932602-9932621	811.0	+	4	-0.2275	0.688	18	172
chr1	9930000	9940000	9939156-9939175	805.0	-	4	-0.2275	0.688	18	173
chr1	9930000	9940000	9930798-9930817,9930909-9930928,9932602-9932621,9939156-9939175			4	-0.2275	0.688	18	174
chr1	9930000	9940000	9930000-9940000			4	-0.2275	0.688	18	175
chr1	10160000	10170000	10160000-10170000			0	-0.096	0.3337	19	176
chr1	10500000	10510000	10507479-10507498	840.0	-	4	-0.809	1.379	20	177
chr1	10500000	10510000	10507607-10507626	854.0	+	4	-0.809	1.379	20	178
chr1	10500000	10510000	10509592-10509611	818.0	-	4	-0.809	1.379	20	179
chr1	10500000	10510000	10509608-10509627	836.0	-	4	-0.809	1.379	20	180
chr1	10500000	10510000	10507479-10507498,10507607-10507626,10509592-10509611,10509608-10509627			4	-0.809	1.379	20	181
chr1	10500000	10510000	10500000-10510000			4	-0.809	1.379	20	182
chr1	11010000	11020000	11011078-11011097	829.0	+	7	-1.029	1.979	21	183
chr1	11010000	11020000	11011597-11011616	808.0	+	7	-1.029	1.979	21	184
chr1	11010000	11020000	11012279-11012298	854.0	-	7	-1.029	1.979	21	185
chr1	11010000	11020000	11012646-11012665	835.0	-	7	-1.029	1.979	21	186
chr1	11010000	11020000	11013087-11013106	812.0	-	7	-1.029	1.979	21	187
chr1	11010000	11020000	11017391-11017410	806.0	-	7	-1.029	1.979	21	188
chr1	11010000	11020000	11018267-11018286	805.0	-	7	-1.029	1.979	21	189
chr1	11010000	11020000	11011078-11011097,11011597-11011616,11012279-11012298,11012646-11012665,11013087-11013106,11017391-11017410,11018267-11018286			7	-1.029	1.979	21	190
chr1	11010000	11020000	11010000-11020000			7	-1.029	1.979	21	191
chr1	11270000	11280000	11273207-11273226	845.0	+	4	-0.6724	0.9575	22	192
chr1	11270000	11280000	11273222-11273241	801.0	+	4	-0.6724	0.9575	22	193
chr1	11270000	11280000	11273245-11273264	827.0	+	4	-0.6724	0.9575	22	194
chr1	11270000	11280000	11277925-11277944	802.0	-	4	-0.6724	0.9575	22	195
chr1	11270000	11280000	11273207-11273226,11273222-11273241,11273245-11273264,11277925-11277944			4	-0.6724	0.9575	22	196
chr1	11270000	11280000	11270000-11280000			4	-0.6724	0.9575	22	197
chr1	11640000	11650000	11640219-11640238	840.0	+	9	-0.5835	1.287	23	198
chr1	11640000	11650000	11641023-11641042	813.0	-	9	-0.5835	1.287	23	199
chr1	11640000	11650000	11642598-11642617	885.0	-	9	-0.5835	1.287	23	200
chr1	11640000	11650000	11645117-11645136	806.0	-	9	-0.5835	1.287	23	201
chr1	11640000	11650000	11645851-11645870	944.0	-	9	-0.5835	1.287	23	202
chr1	11640000	11650000	11646638-11646657	803.0	-	9	-0.5835	1.287	23	203
chr1	11640000	11650000	11647485-11647504	815.0	+	9	-0.5835	1.287	23	204
chr1	11640000	11650000	11648950-11648969	806.0	-	9	-0.5835	1.287	23	205
chr1	11640000	11650000	11649119-11649138	825.0	-	9	-0.5835	1.287	23	206
chr1	11640000	11650000	11640219-11640238,11641023-11641042,11642598-11642617,11645117-11645136,11645851-11645870,11646638-11646657,11647485-11647504,11648950-11648969,11649119-11649138			9	-0.5835	1.287	23	207
chr1	11640000	11650000	11640000-11650000			9	-0.5835	1.287	23	208
chr1	11730000	11740000	11731955-11731974	818.0	-	4	-0.3657	0.2642	24	209
chr1	11730000	11740000	11736225-11736244	839.0	+	4	-0.3657	0.2642	24	210
chr1	11730000	11740000	11736473-11736492	848.0	-	4	-0.3657	0.2642	24	211
chr1	11730000	11740000	11738920-11738939	827.0	-	4	-0.3657	0.2642	24	212
chr1	11730000	11740000	11731955-11731974,11736225-11736244,11736473-11736492,11738920-11738939			4	-0.3657	0.2642	24	213
chr1	11730000	11740000	11730000-11740000			4	-0.3657	0.2642	24	214
chr1	11900000	11910000	11900201-11900220	805.0	+	2	-0.2123	0.3445	25	215
chr1	11900000	11910000	11906652-11906671	803.0	-	2	-0.2123	0.3445	25	216
chr1	11900000	11910000	11900201-11900220,11906652-11906671			2	-0.2123	0.3445	25	217
chr1	11900000	11910000	11900000-11910000			2	-0.2123	0.3445	25	218
chr1	12090000	12100000	12095885-12095904	802.0	-	2	-0.256	0.4143	26	219
chr1	12090000	12100000	12097710-12097729	813.0	-	2	-0.256	0.4143	26	220
chr1	12090000	12100000	12095885-12095904,12097710-12097729			2	-0.256	0.4143	26	221
chr1	12090000	12100000	12090000-12100000			2	-0.256	0.4143	26	222
chr1	12230000	12240000	12230632-12230651	828.0	+	5	-0.563	0.9067	27	223
chr1	12230000	12240000	12230869-12230888	825.0	-	5	-0.563	0.9067	27	224
chr1	12230000	12240000	12231907-12231926	828.0	+	5	-0.563	0.9067	27	225
chr1	12230000	12240000	12232790-12232809	879.0	-	5	-0.563	0.9067	27	226
chr1	12230000	12240000	12233462-12233481	800.0	+	5	-0.563	0.9067	27	227
chr1	12230000	12240000	12230632-12230651,12230869-12230888,12231907-12231926,12232790-12232809,12233462-12233481			5	-0.563	0.9067	27	228
chr1	12230000	12240000	12230000-12240000			5	-0.563	0.9067	27	229
chr1	12660000	12670000	12663632-12663651	810.0	-	4	-0.909	1.712	28	230
chr1	12660000	12670000	12664960-12664979	814.0	+	4	-0.909	1.712	28	231
chr1	12660000	12670000	12666284-12666303	826.0	-	4	-0.909	1.712	28	232
chr1	12660000	12670000	12668792-12668811	804.0	+	4	-0.909	1.712	28	233
chr1	12660000	12670000	12663632-12663651,12664960-12664979,12666284-12666303,12668792-12668811			4	-0.909	1.712	28	234
chr1	12660000	12670000	12660000-12670000			4	-0.909	1.712	28	235
chr1	13640000	13650000	13640367-13640386	824.0	-	2	-0.5303	0.975	29	236
chr1	13640000	13650000	13642766-13642785	833.0	+	2	-0.5303	0.975	29	237
chr1	13640000	13650000	13640367-13640386,13642766-13642785			2	-0.5303	0.975	29	238
chr1	13640000	13650000	13640000-13650000			2	-0.5303	0.975	29	239
chr1	13960000	13970000	13960565-13960584	933.0	-	5	-0.3296	0.8154	30	240
chr1	13960000	13970000	13963260-13963279	812.0	+	5	-0.3296	0.8154	30	241
chr1	13960000	13970000	13963362-13963381	805.0	+	5	-0.3296	0.8154	30	242
chr1	13960000	13970000	13965696-13965715	812.0	-	5	-0.3296	0.8154	30	243
chr1	13960000	13970000	13965975-13965994	853.0	+	5	-0.3296	0.8154	30	244
chr1	13960000	13970000	13960565-13960584,13963260-13963279,13963362-13963381,13965696-13965715,13965975-13965994			5	-0.3296	0.8154	30	245
chr1	13960000	13970000	13960000-13970000			5	-0.3296	0.8154	30	246
chr1	14780000	14790000	14782177-14782196	815.0	-	4	-0.2002	0.4622	31	247
chr1	14780000	14790000	14783073-14783092	833.0	+	4	-0.2002	0.4622	31	248
chr1	14780000	14790000	14785920-14785939	806.0	-	4	-0.2002	0.4622	31	249
chr1	14780000	14790000	14787728-14787747	861.0	-	4	-0.2002	0.4622	31	250
chr1	14780000	14790000	14782177-14782196,14783073-14783092,14785920-14785939,14787728-14787747			4	-0.2002	0.4622	31	251
chr1	14780000	14790000	14780000-14790000			4	-0.2002	0.4622	31	252
chr1	15100000	15110000	15102601-15102620	818.0	+	4	-0.6665	1.184	32	253
chr1	15100000	15110000	15104263-15104282	816.0	-	4	-0.6665	1.184	32	254
chr1	15100000	15110000	15107968-15107987	845.0	-	4	-0.6665	1.184	32	255
chr1	15100000	15110000	15108675-15108694	800.0	-	4	-0.6665	1.184	32	256
chr1	15100000	15110000	15102601-15102620,15104263-15104282,15107968-15107987,15108675-15108694			4	-0.6665	1.184	32	257
chr1	15100000	15110000	15100000-15110000			4	-0.6665	1.184	32	258
chr1	15520000	15530000	15522897-15522916	832.0	+	3	-0.8735	1.467	33	259
chr1	15520000	15530000	15524366-15524385	828.0	+	3	-0.8735	1.467	33	260
chr1	15520000	15530000	15526538-15526557	808.0	-	3	-0.8735	1.467	33	261
chr1	15520000	15530000	15522897-15522916,15524366-15524385,15526538-15526557			3	-0.8735	1.467	33	262
chr1	15520000	15530000	15520000-15530000			3	-0.8735	1.467	33	263
chr1	15770000	15780000	15770506-15770525	845.0	-	4	-0.6035	1.016	34	264
chr1	15770000	15780000	15771814-15771833	800.0	+	4	-0.6035	1.016	34	265
chr1	15770000	15780000	15777657-15777676	815.0	+	4	-0.6035	1.016	34	266
chr1	15770000	15780000	15779383-15779402	805.0	-	4	-0.6035	1.016	34	267
chr1	15770000	15780000	15770506-15770525,15771814-15771833,15777657-15777676,15779383-15779402			4	-0.6035	1.016	34	268
chr1	15770000	15780000	15770000-15780000			4	-0.6035	1.016	34	269
chr1	16060000	16070000	16060290-16060309	810.0	-	6	-0.3606	0.8394	35	270
chr1	16060000	16070000	16062578-16062597	854.0	+	6	-0.3606	0.8394	35	271
chr1	16060000	16070000	16064608-16064627	838.0	+	6	-0.3606	0.8394	35	272
chr1	16060000	16070000	16067714-16067733	807.0	-	6	-0.3606	0.8394	35	273
chr1	16060000	16070000	16067934-16067953	814.0	+	6	-0.3606	0.8394	35	274
chr1	16060000	16070000	16068869-16068888	810.0	-	6	-0.3606	0.8394	35	275
chr1	16060000	16070000	16060290-16060309,16062578-16062597,16064608-16064627,16067714-16067733,16067934-16067953,16068869-16068888			6	-0.3606	0.8394	35	276
chr1	16060000	16070000	16060000-16070000			6	-0.3606	0.8394	35	277
chr1	16250000	16260000	16251244-16251263	815.0	-	4	-0.0163	0.4805	36	278
chr1	16250000	16260000	16254818-16254837	828.0	+	4	-0.0163	0.4805	36	279
chr1	16250000	16260000	16255812-16255831	813.0	-	4	-0.0163	0.4805	36	280
chr1	16250000	16260000	16257759-16257778	805.0	-	4	-0.0163	0.4805	36	281
chr1	16250000	16260000	16251244-16251263,16254818-16254837,16255812-16255831,16257759-16257778			4	-0.0163	0.4805	36	282
chr1	16250000	16260000	16250000-16260000			4	-0.0163	0.4805	36	283
chr1	17050000	17060000	17052432-17052451	832.0	-	5	-0.374	1.088	37	284
chr1	17050000	17060000	17053810-17053829	815.0	+	5	-0.374	1.088	37	285
chr1	17050000	17060000	17058211-17058230	846.0	-	5	-0.374	1.088	37	286
chr1	17050000	17060000	17059828-17059847	817.0	+	5	-0.374	1.088	37	287
chr1	17050000	17060000	17059865-17059884	814.0	-	5	-0.374	1.088	37	288
chr1	17050000	17060000	17052432-17052451,17053810-17053829,17058211-17058230,17059828-17059847,17059865-17059884			5	-0.374	1.088	37	289
chr1	17050000	17060000	17050000-17060000			5	-0.374	1.088	37	290
chr1	17410000	17420000	17410236-17410255	837.0	-	6	-0.592	1.19	38	291
chr1	17410000	17420000	17411120-17411139	831.0	+	6	-0.592	1.19	38	292
chr1	17410000	17420000	17412944-17412963	819.0	+	6	-0.592	1.19	38	293
chr1	17410000	17420000	17414710-17414729	820.0	-	6	-0.592	1.19	38	294
chr1	17410000	17420000	17416125-17416144	852.0	+	6	-0.592	1.19	38	295
chr1	17410000	17420000	17416136-17416155	842.0	-	6	-0.592	1.19	38	296
chr1	17410000	17420000	17410236-17410255,17411120-17411139,17412944-17412963,17414710-17414729,17416125-17416144,17416136-17416155			6	-0.592	1.19	38	297
chr1	17410000	17420000	17410000-17420000			6	-0.592	1.19	38	298
chr1	17650000	17660000	17653551-17653570	841.0	+	5	-0.2632	0.7925	39	299
chr1	17650000	17660000	17653939-17653958	914.0	+	5	-0.2632	0.7925	39	300
chr1	17650000	17660000	17654662-17654681	831.0	-	5	-0.2632	0.7925	39	301
chr1	17650000	17660000	17655825-17655844	807.0	-	5	-0.2632	0.7925	39	302
chr1	17650000	17660000	17656647-17656666	805.0	-	5	-0.2632	0.7925	39	303
chr1	17650000	17660000	17653551-17653570,17653939-17653958,17654662-17654681,17655825-17655844,17656647-17656666			5	-0.2632	0.7925	39	304
chr1	17650000	17660000	17650000-17660000			5	-0.2632	0.7925	39	305
