out_folder	locus_specification	shuffle_parameter	mutation_method	ctcf_selection_threshold	map_score_threshold	GC_content
data	chr1,62738432,64049152	2	permute_motif	12	5500	0.4233421325683594
data	chr1,62738432,64049152	2	permute_motif	12	6000	0.4233421325683594
data	chr1,62738432,64049152	2	permute_motif	12	6500	0.4233421325683594
data	chr1,62738432,64049152	4	permute_whole_seq	5	5500	0.4233421325683594
data	chr1,62738432,64049152	4	permute_whole_seq	5	6000	0.4233421325683594
data	chr1,62738432,64049152	4	permute_whole_seq	5	6500	0.4233421325683594
data	chr1,62738432,64049152	4	permute_whole_seq	8	5500	0.4233421325683594
data	chr1,62738432,64049152	4	permute_whole_seq	8	6000	0.4233421325683594
data	chr1,62738432,64049152	4	permute_whole_seq	8	6500	0.4233421325683594
data	chr1,62738432,64049152	4	permute_whole_seq	12	5500	0.4233421325683594
data	chr1,62738432,64049152	4	permute_whole_seq	12	6000	0.4233421325683594
data	chr1,62738432,64049152	4	permute_whole_seq	12	6500	0.4233421325683594
data	chr1,62738432,64049152	4	mask_motif	5	5500	0.4233421325683594
data	chr1,62738432,64049152	4	mask_motif	5	6000	0.4233421325683594
data	chr1,62738432,64049152	4	mask_motif	5	6500	0.4233421325683594
data	chr1,62738432,64049152	4	mask_motif	8	5500	0.4233421325683594
data	chr1,62738432,64049152	4	mask_motif	8	6000	0.4233421325683594
data	chr1,62738432,64049152	4	mask_motif	8	6500	0.4233421325683594
data	chr1,62738432,64049152	4	mask_motif	12	5500	0.4233421325683594
data	chr1,62738432,64049152	4	mask_motif	12	6000	0.4233421325683594
data	chr1,62738432,64049152	4	mask_motif	12	6500	0.4233421325683594
data	chr1,62738432,64049152	4	random	5	5500	0.4233421325683594
data	chr1,62738432,64049152	4	random	5	6000	0.4233421325683594
data	chr1,62738432,64049152	4	random	5	6500	0.4233421325683594
data	chr1,62738432,64049152	4	random	8	5500	0.4233421325683594
data	chr1,62738432,64049152	4	random	8	6000	0.4233421325683594
data	chr1,62738432,64049152	4	random	8	6500	0.4233421325683594
data	chr1,62738432,64049152	4	random	12	5500	0.4233421325683594
data	chr1,62738432,64049152	4	random	12	6000	0.4233421325683594
data	chr1,62738432,64049152	4	random	12	6500	0.4233421325683594
data	chr1,62738432,64049152	4	permute_motif	5	5500	0.4233421325683594
data	chr1,62738432,64049152	4	permute_motif	5	6000	0.4233421325683594
data	chr1,62738432,64049152	4	permute_motif	5	6500	0.4233421325683594
data	chr1,62738432,64049152	4	permute_motif	8	5500	0.4233421325683594
data	chr1,62738432,64049152	4	permute_motif	8	6000	0.4233421325683594
data	chr1,62738432,64049152	4	permute_motif	8	6500	0.4233421325683594
data	chr1,62738432,64049152	4	permute_motif	12	5500	0.4233421325683594
data	chr1,62738432,64049152	4	permute_motif	12	6000	0.4233421325683594
data	chr1,62738432,64049152	4	permute_motif	12	6500	0.4233421325683594
data	chr1,62738432,64049152	8	permute_whole_seq	5	5500	0.4233421325683594
data	chr1,62738432,64049152	8	permute_whole_seq	5	6000	0.4233421325683594
data	chr1,62738432,64049152	8	permute_whole_seq	5	6500	0.4233421325683594
data	chr1,62738432,64049152	8	permute_whole_seq	8	5500	0.4233421325683594
data	chr1,62738432,64049152	8	permute_whole_seq	8	6000	0.4233421325683594
data	chr1,62738432,64049152	8	permute_whole_seq	8	6500	0.4233421325683594
data	chr1,62738432,64049152	8	permute_whole_seq	12	5500	0.4233421325683594
data	chr1,62738432,64049152	8	permute_whole_seq	12	6000	0.4233421325683594
data	chr1,62738432,64049152	8	permute_whole_seq	12	6500	0.4233421325683594
data	chr1,62738432,64049152	8	mask_motif	5	5500	0.4233421325683594
data	chr1,62738432,64049152	8	mask_motif	5	6000	0.4233421325683594
data	chr1,62738432,64049152	8	mask_motif	5	6500	0.4233421325683594
data	chr1,62738432,64049152	8	mask_motif	8	5500	0.4233421325683594
data	chr1,62738432,64049152	8	mask_motif	8	6000	0.4233421325683594
data	chr1,62738432,64049152	8	mask_motif	8	6500	0.4233421325683594
data	chr1,62738432,64049152	8	mask_motif	12	5500	0.4233421325683594
data	chr1,62738432,64049152	8	mask_motif	12	6000	0.4233421325683594
data	chr1,62738432,64049152	8	mask_motif	12	6500	0.4233421325683594
data	chr1,62738432,64049152	8	random	5	5500	0.4233421325683594
data	chr1,62738432,64049152	8	random	5	6000	0.4233421325683594
data	chr1,62738432,64049152	8	random	5	6500	0.4233421325683594
data	chr1,62738432,64049152	8	random	8	5500	0.4233421325683594
data	chr1,62738432,64049152	8	random	8	6000	0.4233421325683594
data	chr1,62738432,64049152	8	random	8	6500	0.4233421325683594
data	chr1,62738432,64049152	8	random	12	5500	0.4233421325683594
data	chr1,62738432,64049152	8	random	12	6000	0.4233421325683594
data	chr1,62738432,64049152	8	random	12	6500	0.4233421325683594
data	chr1,62738432,64049152	8	permute_motif	5	5500	0.4233421325683594
data	chr1,62738432,64049152	8	permute_motif	5	6000	0.4233421325683594
data	chr1,62738432,64049152	8	permute_motif	5	6500	0.4233421325683594
data	chr1,62738432,64049152	8	permute_motif	8	5500	0.4233421325683594
data	chr1,62738432,64049152	8	permute_motif	8	6000	0.4233421325683594
data	chr1,62738432,64049152	8	permute_motif	8	6500	0.4233421325683594
data	chr1,62738432,64049152	8	permute_motif	12	5500	0.4233421325683594
data	chr1,62738432,64049152	8	permute_motif	12	6000	0.4233421325683594
data	chr1,62738432,64049152	8	permute_motif	12	6500	0.4233421325683594
data	chr1,42708992,44019712	2	permute_whole_seq	5	5500	0.4249847412109375
data	chr1,42708992,44019712	2	permute_whole_seq	5	6000	0.4249847412109375
data	chr1,42708992,44019712	2	permute_whole_seq	5	6500	0.4249847412109375
data	chr1,42708992,44019712	2	permute_whole_seq	8	5500	0.4249847412109375
data	chr1,42708992,44019712	2	permute_whole_seq	8	6000	0.4249847412109375
data	chr1,42708992,44019712	2	permute_whole_seq	8	6500	0.4249847412109375
data	chr1,42708992,44019712	2	permute_whole_seq	12	5500	0.4249847412109375
data	chr1,42708992,44019712	2	permute_whole_seq	12	6000	0.4249847412109375
data	chr1,42708992,44019712	2	permute_whole_seq	12	6500	0.4249847412109375
data	chr1,42708992,44019712	2	mask_motif	5	5500	0.4249847412109375
data	chr1,42708992,44019712	2	mask_motif	5	6000	0.4249847412109375
data	chr1,42708992,44019712	2	mask_motif	5	6500	0.4249847412109375
data	chr1,42708992,44019712	2	mask_motif	8	5500	0.4249847412109375
data	chr1,42708992,44019712	2	mask_motif	8	6000	0.4249847412109375
data	chr1,42708992,44019712	2	mask_motif	8	6500	0.4249847412109375
data	chr1,42708992,44019712	2	mask_motif	12	5500	0.4249847412109375
data	chr1,42708992,44019712	2	mask_motif	12	6000	0.4249847412109375
data	chr1,42708992,44019712	2	mask_motif	12	6500	0.4249847412109375
data	chr1,42708992,44019712	2	random	5	5500	0.4249847412109375
data	chr1,42708992,44019712	2	random	5	6000	0.4249847412109375
data	chr1,42708992,44019712	2	random	5	6500	0.4249847412109375
data	chr1,42708992,44019712	2	random	8	5500	0.4249847412109375
data	chr1,42708992,44019712	2	random	8	6000	0.4249847412109375
data	chr1,42708992,44019712	2	random	8	6500	0.4249847412109375
data	chr1,42708992,44019712	2	random	12	5500	0.4249847412109375
data	chr1,42708992,44019712	2	random	12	6000	0.4249847412109375
data	chr1,42708992,44019712	2	random	12	6500	0.4249847412109375
data	chr1,42708992,44019712	2	permute_motif	5	5500	0.4249847412109375
data	chr1,42708992,44019712	2	permute_motif	5	6000	0.4249847412109375
data	chr1,42708992,44019712	2	permute_motif	5	6500	0.4249847412109375
data	chr1,42708992,44019712	2	permute_motif	8	5500	0.4249847412109375
data	chr1,42708992,44019712	2	permute_motif	8	6000	0.4249847412109375
data	chr1,42708992,44019712	2	permute_motif	8	6500	0.4249847412109375
data	chr1,42708992,44019712	2	permute_motif	12	5500	0.4249847412109375
data	chr1,42708992,44019712	2	permute_motif	12	6000	0.4249847412109375
data	chr1,42708992,44019712	2	permute_motif	12	6500	0.4249847412109375
data	chr1,42708992,44019712	4	permute_whole_seq	5	5500	0.4249847412109375
data	chr1,42708992,44019712	4	permute_whole_seq	5	6000	0.4249847412109375
data	chr1,42708992,44019712	4	permute_whole_seq	5	6500	0.4249847412109375
data	chr1,42708992,44019712	4	permute_whole_seq	8	5500	0.4249847412109375
data	chr1,42708992,44019712	4	permute_whole_seq	8	6000	0.4249847412109375
data	chr1,42708992,44019712	4	permute_whole_seq	8	6500	0.4249847412109375
data	chr1,42708992,44019712	4	permute_whole_seq	12	5500	0.4249847412109375
data	chr1,42708992,44019712	4	permute_whole_seq	12	6000	0.4249847412109375
data	chr1,42708992,44019712	4	permute_whole_seq	12	6500	0.4249847412109375
data	chr1,42708992,44019712	4	mask_motif	5	5500	0.4249847412109375
data	chr1,42708992,44019712	4	mask_motif	5	6000	0.4249847412109375
data	chr1,42708992,44019712	4	mask_motif	5	6500	0.4249847412109375
data	chr1,42708992,44019712	4	mask_motif	8	5500	0.4249847412109375
data	chr1,42708992,44019712	4	mask_motif	8	6000	0.4249847412109375
data	chr1,42708992,44019712	4	mask_motif	8	6500	0.4249847412109375
data	chr1,42708992,44019712	4	mask_motif	12	5500	0.4249847412109375
data	chr1,42708992,44019712	4	mask_motif	12	6000	0.4249847412109375
data	chr1,42708992,44019712	4	mask_motif	12	6500	0.4249847412109375
data	chr1,42708992,44019712	4	random	5	5500	0.4249847412109375
data	chr1,42708992,44019712	4	random	5	6000	0.4249847412109375
data	chr1,42708992,44019712	4	random	5	6500	0.4249847412109375
data	chr1,42708992,44019712	4	random	8	5500	0.4249847412109375
data	chr1,42708992,44019712	4	random	8	6000	0.4249847412109375
data	chr1,42708992,44019712	4	random	8	6500	0.4249847412109375
data	chr1,42708992,44019712	4	random	12	5500	0.4249847412109375
data	chr1,42708992,44019712	4	random	12	6000	0.4249847412109375
data	chr1,42708992,44019712	4	random	12	6500	0.4249847412109375
data	chr1,42708992,44019712	4	permute_motif	5	5500	0.4249847412109375
data	chr1,42708992,44019712	4	permute_motif	5	6000	0.4249847412109375
data	chr1,42708992,44019712	4	permute_motif	5	6500	0.4249847412109375
data	chr1,42708992,44019712	4	permute_motif	8	5500	0.4249847412109375
data	chr1,42708992,44019712	4	permute_motif	8	6000	0.4249847412109375
data	chr1,42708992,44019712	4	permute_motif	8	6500	0.4249847412109375
data	chr1,42708992,44019712	4	permute_motif	12	5500	0.4249847412109375
data	chr1,42708992,44019712	4	permute_motif	12	6000	0.4249847412109375
data	chr1,42708992,44019712	4	permute_motif	12	6500	0.4249847412109375
data	chr1,42708992,44019712	8	permute_whole_seq	5	5500	0.4249847412109375
data	chr1,42708992,44019712	8	permute_whole_seq	5	6000	0.4249847412109375
data	chr1,42708992,44019712	8	permute_whole_seq	5	6500	0.4249847412109375
data	chr1,42708992,44019712	8	permute_whole_seq	8	5500	0.4249847412109375
data	chr1,42708992,44019712	8	permute_whole_seq	8	6000	0.4249847412109375
data	chr1,42708992,44019712	8	permute_whole_seq	8	6500	0.4249847412109375
data	chr1,42708992,44019712	8	permute_whole_seq	12	5500	0.4249847412109375
data	chr1,42708992,44019712	8	permute_whole_seq	12	6000	0.4249847412109375
data	chr1,42708992,44019712	8	permute_whole_seq	12	6500	0.4249847412109375
data	chr1,42708992,44019712	8	mask_motif	5	5500	0.4249847412109375
data	chr1,42708992,44019712	8	mask_motif	5	6000	0.4249847412109375
data	chr1,42708992,44019712	8	mask_motif	5	6500	0.4249847412109375
data	chr1,42708992,44019712	8	mask_motif	8	5500	0.4249847412109375
data	chr1,42708992,44019712	8	mask_motif	8	6000	0.4249847412109375
data	chr1,42708992,44019712	8	mask_motif	8	6500	0.4249847412109375
data	chr1,42708992,44019712	8	mask_motif	12	5500	0.4249847412109375
data	chr1,42708992,44019712	8	mask_motif	12	6000	0.4249847412109375
data	chr1,42708992,44019712	8	mask_motif	12	6500	0.4249847412109375
data	chr1,42708992,44019712	8	random	5	5500	0.4249847412109375
data	chr1,42708992,44019712	8	random	5	6000	0.4249847412109375
data	chr1,42708992,44019712	8	random	5	6500	0.4249847412109375
data	chr1,42708992,44019712	8	random	8	5500	0.4249847412109375
data	chr1,42708992,44019712	8	random	8	6000	0.4249847412109375
data	chr1,42708992,44019712	8	random	8	6500	0.4249847412109375
data	chr1,42708992,44019712	8	random	12	5500	0.4249847412109375
data	chr1,42708992,44019712	8	random	12	6000	0.4249847412109375
data	chr1,42708992,44019712	8	random	12	6500	0.4249847412109375
data	chr1,42708992,44019712	8	permute_motif	5	5500	0.4249847412109375
data	chr1,42708992,44019712	8	permute_motif	5	6000	0.4249847412109375
data	chr1,42708992,44019712	8	permute_motif	5	6500	0.4249847412109375
data	chr1,42708992,44019712	8	permute_motif	8	5500	0.4249847412109375
data	chr1,42708992,44019712	8	permute_motif	8	6000	0.4249847412109375
data	chr1,42708992,44019712	8	permute_motif	8	6500	0.4249847412109375
data	chr1,42708992,44019712	8	permute_motif	12	5500	0.4249847412109375
data	chr1,42708992,44019712	8	permute_motif	12	6000	0.4249847412109375
data	chr1,42708992,44019712	8	permute_motif	12	6500	0.4249847412109375
data	chr2,17713152,19023872	2	permute_whole_seq	5	5500	0.41918258666992186
data	chr2,17713152,19023872	2	permute_whole_seq	5	6000	0.41918258666992186
data	chr2,17713152,19023872	2	permute_whole_seq	5	6500	0.41918258666992186
data	chr2,17713152,19023872	2	permute_whole_seq	8	5500	0.41918258666992186
data	chr2,17713152,19023872	2	permute_whole_seq	8	6000	0.41918258666992186
data	chr2,17713152,19023872	2	permute_whole_seq	8	6500	0.41918258666992186
data	chr2,17713152,19023872	2	permute_whole_seq	12	5500	0.41918258666992186
data	chr2,17713152,19023872	2	permute_whole_seq	12	6000	0.41918258666992186
data	chr2,17713152,19023872	2	permute_whole_seq	12	6500	0.41918258666992186
data	chr2,17713152,19023872	2	mask_motif	5	5500	0.41918258666992186
data	chr2,17713152,19023872	2	mask_motif	5	6000	0.41918258666992186
data	chr2,17713152,19023872	2	mask_motif	5	6500	0.41918258666992186
data	chr2,17713152,19023872	2	mask_motif	8	5500	0.41918258666992186
data	chr2,17713152,19023872	2	mask_motif	8	6000	0.41918258666992186
data	chr2,17713152,19023872	2	mask_motif	8	6500	0.41918258666992186
data	chr2,17713152,19023872	2	mask_motif	12	5500	0.41918258666992186
data	chr2,17713152,19023872	2	mask_motif	12	6000	0.41918258666992186
data	chr2,17713152,19023872	2	mask_motif	12	6500	0.41918258666992186
data	chr2,17713152,19023872	2	random	5	5500	0.41918258666992186
data	chr2,17713152,19023872	2	random	5	6000	0.41918258666992186
data	chr2,17713152,19023872	2	random	5	6500	0.41918258666992186
data	chr2,17713152,19023872	2	random	8	5500	0.41918258666992186
data	chr2,17713152,19023872	2	random	8	6000	0.41918258666992186
data	chr2,17713152,19023872	2	random	8	6500	0.41918258666992186
data	chr2,17713152,19023872	2	random	12	5500	0.41918258666992186
data	chr2,17713152,19023872	2	random	12	6000	0.41918258666992186
data	chr2,17713152,19023872	2	random	12	6500	0.41918258666992186
data	chr2,17713152,19023872	2	permute_motif	5	5500	0.41918258666992186
data	chr2,17713152,19023872	2	permute_motif	5	6000	0.41918258666992186
data	chr2,17713152,19023872	2	permute_motif	5	6500	0.41918258666992186
data	chr2,17713152,19023872	2	permute_motif	8	5500	0.41918258666992186
data	chr2,17713152,19023872	2	permute_motif	8	6000	0.41918258666992186
data	chr2,17713152,19023872	2	permute_motif	8	6500	0.41918258666992186
data	chr2,17713152,19023872	2	permute_motif	12	5500	0.41918258666992186
data	chr2,17713152,19023872	2	permute_motif	12	6000	0.41918258666992186
data	chr2,17713152,19023872	2	permute_motif	12	6500	0.41918258666992186
data	chr2,17713152,19023872	4	permute_whole_seq	5	5500	0.41918258666992186
data	chr2,17713152,19023872	4	permute_whole_seq	5	6000	0.41918258666992186
data	chr2,17713152,19023872	4	permute_whole_seq	5	6500	0.41918258666992186
data	chr2,17713152,19023872	4	permute_whole_seq	8	5500	0.41918258666992186
data	chr2,17713152,19023872	4	permute_whole_seq	8	6000	0.41918258666992186
data	chr2,17713152,19023872	4	permute_whole_seq	8	6500	0.41918258666992186
data	chr2,17713152,19023872	4	permute_whole_seq	12	5500	0.41918258666992186
data	chr2,17713152,19023872	4	permute_whole_seq	12	6000	0.41918258666992186
data	chr2,17713152,19023872	4	permute_whole_seq	12	6500	0.41918258666992186
data	chr2,17713152,19023872	4	mask_motif	5	5500	0.41918258666992186
data	chr2,17713152,19023872	4	mask_motif	5	6000	0.41918258666992186
data	chr2,17713152,19023872	4	mask_motif	5	6500	0.41918258666992186
data	chr2,17713152,19023872	4	mask_motif	8	5500	0.41918258666992186
data	chr2,17713152,19023872	4	mask_motif	8	6000	0.41918258666992186
data	chr2,17713152,19023872	4	mask_motif	8	6500	0.41918258666992186
data	chr2,17713152,19023872	4	mask_motif	12	5500	0.41918258666992186
data	chr2,17713152,19023872	4	mask_motif	12	6000	0.41918258666992186
data	chr2,17713152,19023872	4	mask_motif	12	6500	0.41918258666992186
data	chr2,17713152,19023872	4	random	5	5500	0.41918258666992186
data	chr2,17713152,19023872	4	random	5	6000	0.41918258666992186
data	chr2,17713152,19023872	4	random	5	6500	0.41918258666992186
data	chr2,17713152,19023872	4	random	8	5500	0.41918258666992186
data	chr2,17713152,19023872	4	random	8	6000	0.41918258666992186
data	chr2,17713152,19023872	4	random	8	6500	0.41918258666992186
data	chr2,17713152,19023872	4	random	12	5500	0.41918258666992186
data	chr2,17713152,19023872	4	random	12	6000	0.41918258666992186
data	chr2,17713152,19023872	4	random	12	6500	0.41918258666992186
data	chr2,17713152,19023872	4	permute_motif	5	5500	0.41918258666992186
data	chr2,17713152,19023872	4	permute_motif	5	6000	0.41918258666992186
data	chr2,17713152,19023872	4	permute_motif	5	6500	0.41918258666992186
data	chr2,17713152,19023872	4	permute_motif	8	5500	0.41918258666992186
data	chr2,17713152,19023872	4	permute_motif	8	6000	0.41918258666992186
data	chr2,17713152,19023872	4	permute_motif	8	6500	0.41918258666992186
data	chr2,17713152,19023872	4	permute_motif	12	5500	0.41918258666992186
data	chr2,17713152,19023872	4	permute_motif	12	6000	0.41918258666992186
data	chr2,17713152,19023872	4	permute_motif	12	6500	0.41918258666992186
data	chr2,17713152,19023872	8	permute_whole_seq	5	5500	0.41918258666992186
data	chr2,17713152,19023872	8	permute_whole_seq	5	6000	0.41918258666992186
data	chr2,17713152,19023872	8	permute_whole_seq	5	6500	0.41918258666992186
data	chr2,17713152,19023872	8	permute_whole_seq	8	5500	0.41918258666992186
data	chr2,17713152,19023872	8	permute_whole_seq	8	6000	0.41918258666992186
data	chr2,17713152,19023872	8	permute_whole_seq	8	6500	0.41918258666992186
data	chr2,17713152,19023872	8	permute_whole_seq	12	5500	0.41918258666992186
data	chr2,17713152,19023872	8	permute_whole_seq	12	6000	0.41918258666992186
data	chr2,17713152,19023872	8	permute_whole_seq	12	6500	0.41918258666992186
data	chr2,17713152,19023872	8	mask_motif	5	5500	0.41918258666992186
data	chr2,17713152,19023872	8	mask_motif	5	6000	0.41918258666992186
data	chr2,17713152,19023872	8	mask_motif	5	6500	0.41918258666992186
data	chr2,17713152,19023872	8	mask_motif	8	5500	0.41918258666992186
data	chr2,17713152,19023872	8	mask_motif	8	6000	0.41918258666992186
data	chr2,17713152,19023872	8	mask_motif	8	6500	0.41918258666992186
data	chr2,17713152,19023872	8	mask_motif	12	5500	0.41918258666992186
data	chr2,17713152,19023872	8	mask_motif	12	6000	0.41918258666992186
data	chr2,17713152,19023872	8	mask_motif	12	6500	0.41918258666992186
data	chr2,17713152,19023872	8	random	5	5500	0.41918258666992186
data	chr2,17713152,19023872	8	random	5	6000	0.41918258666992186
data	chr2,17713152,19023872	8	random	5	6500	0.41918258666992186
data	chr2,17713152,19023872	8	random	8	5500	0.41918258666992186
data	chr2,17713152,19023872	8	random	8	6000	0.41918258666992186
data	chr2,17713152,19023872	8	random	8	6500	0.41918258666992186
data	chr2,17713152,19023872	8	random	12	5500	0.41918258666992186
data	chr2,17713152,19023872	8	random	12	6000	0.41918258666992186
data	chr2,17713152,19023872	8	random	12	6500	0.41918258666992186
data	chr2,17713152,19023872	8	permute_motif	5	5500	0.41918258666992186
data	chr2,17713152,19023872	8	permute_motif	5	6000	0.41918258666992186
data	chr2,17713152,19023872	8	permute_motif	5	6500	0.41918258666992186
data	chr2,17713152,19023872	8	permute_motif	8	5500	0.41918258666992186
data	chr2,17713152,19023872	8	permute_motif	8	6000	0.41918258666992186
data	chr2,17713152,19023872	8	permute_motif	8	6500	0.41918258666992186
data	chr2,17713152,19023872	8	permute_motif	12	5500	0.41918258666992186
data	chr2,17713152,19023872	8	permute_motif	12	6000	0.41918258666992186
data	chr2,17713152,19023872	8	permute_motif	12	6500	0.41918258666992186
data	chr1,192378880,193689600	2	permute_whole_seq	5	5500	0.44980850219726565
data	chr1,192378880,193689600	2	permute_whole_seq	5	6000	0.44980850219726565
data	chr1,192378880,193689600	2	permute_whole_seq	5	6500	0.44980850219726565
data	chr1,192378880,193689600	2	permute_whole_seq	8	5500	0.44980850219726565
data	chr1,192378880,193689600	2	permute_whole_seq	8	6000	0.44980850219726565
data	chr1,192378880,193689600	2	permute_whole_seq	8	6500	0.44980850219726565
data	chr1,192378880,193689600	2	permute_whole_seq	12	5500	0.44980850219726565
data	chr1,192378880,193689600	2	permute_whole_seq	12	6000	0.44980850219726565
data	chr1,192378880,193689600	2	permute_whole_seq	12	6500	0.44980850219726565
data	chr1,192378880,193689600	2	mask_motif	5	5500	0.44980850219726565
data	chr1,192378880,193689600	2	mask_motif	5	6000	0.44980850219726565
data	chr1,192378880,193689600	2	mask_motif	5	6500	0.44980850219726565
data	chr1,192378880,193689600	2	mask_motif	8	5500	0.44980850219726565
data	chr1,192378880,193689600	2	mask_motif	8	6000	0.44980850219726565
data	chr1,192378880,193689600	2	mask_motif	8	6500	0.44980850219726565
data	chr1,192378880,193689600	2	mask_motif	12	5500	0.44980850219726565
data	chr1,192378880,193689600	2	mask_motif	12	6000	0.44980850219726565
data	chr1,192378880,193689600	2	mask_motif	12	6500	0.44980850219726565
data	chr1,192378880,193689600	2	random	5	5500	0.44980850219726565
data	chr1,192378880,193689600	2	random	5	6000	0.44980850219726565
data	chr1,192378880,193689600	2	random	5	6500	0.44980850219726565
data	chr1,192378880,193689600	2	random	8	5500	0.44980850219726565
data	chr1,192378880,193689600	2	random	8	6000	0.44980850219726565
data	chr1,192378880,193689600	2	random	8	6500	0.44980850219726565
data	chr1,192378880,193689600	2	random	12	5500	0.44980850219726565
data	chr1,192378880,193689600	2	random	12	6000	0.44980850219726565
data	chr1,192378880,193689600	2	random	12	6500	0.44980850219726565
data	chr1,192378880,193689600	2	permute_motif	5	5500	0.44980850219726565
data	chr1,192378880,193689600	2	permute_motif	5	6000	0.44980850219726565
data	chr1,192378880,193689600	2	permute_motif	5	6500	0.44980850219726565
data	chr1,192378880,193689600	2	permute_motif	8	5500	0.44980850219726565
data	chr1,192378880,193689600	2	permute_motif	8	6000	0.44980850219726565
data	chr1,192378880,193689600	2	permute_motif	8	6500	0.44980850219726565
data	chr1,192378880,193689600	2	permute_motif	12	5500	0.44980850219726565
data	chr1,192378880,193689600	2	permute_motif	12	6000	0.44980850219726565
data	chr1,192378880,193689600	2	permute_motif	12	6500	0.44980850219726565
data	chr1,192378880,193689600	4	permute_whole_seq	5	5500	0.44980850219726565
data	chr1,192378880,193689600	4	permute_whole_seq	5	6000	0.44980850219726565
data	chr1,192378880,193689600	4	permute_whole_seq	5	6500	0.44980850219726565
data	chr1,192378880,193689600	4	permute_whole_seq	8	5500	0.44980850219726565
data	chr1,192378880,193689600	4	permute_whole_seq	8	6000	0.44980850219726565
data	chr1,192378880,193689600	4	permute_whole_seq	8	6500	0.44980850219726565
data	chr1,192378880,193689600	4	permute_whole_seq	12	5500	0.44980850219726565
data	chr1,192378880,193689600	4	permute_whole_seq	12	6000	0.44980850219726565
data	chr1,192378880,193689600	4	permute_whole_seq	12	6500	0.44980850219726565
data	chr1,192378880,193689600	4	mask_motif	5	5500	0.44980850219726565
data	chr1,192378880,193689600	4	mask_motif	5	6000	0.44980850219726565
data	chr1,192378880,193689600	4	mask_motif	5	6500	0.44980850219726565
data	chr1,192378880,193689600	4	mask_motif	8	5500	0.44980850219726565
data	chr1,192378880,193689600	4	mask_motif	8	6000	0.44980850219726565
data	chr1,192378880,193689600	4	mask_motif	8	6500	0.44980850219726565
data	chr1,192378880,193689600	4	mask_motif	12	5500	0.44980850219726565
data	chr1,192378880,193689600	4	mask_motif	12	6000	0.44980850219726565
data	chr1,192378880,193689600	4	mask_motif	12	6500	0.44980850219726565
data	chr1,192378880,193689600	4	random	5	5500	0.44980850219726565
data	chr1,192378880,193689600	4	random	5	6000	0.44980850219726565
data	chr1,192378880,193689600	4	random	5	6500	0.44980850219726565
data	chr1,192378880,193689600	4	random	8	5500	0.44980850219726565
data	chr1,192378880,193689600	4	random	8	6000	0.44980850219726565
data	chr1,192378880,193689600	4	random	8	6500	0.44980850219726565
data	chr1,192378880,193689600	4	random	12	5500	0.44980850219726565
data	chr1,192378880,193689600	4	random	12	6000	0.44980850219726565
data	chr1,192378880,193689600	4	random	12	6500	0.44980850219726565
data	chr1,192378880,193689600	4	permute_motif	5	5500	0.44980850219726565
