out_folder	ctcf_locus_specification	gene_locus_specification	ctcf_flank_bp	gene_flank_bp	background_seqs	spacer_bp	locus_orientation	ctcf_strand	ctcf_genomic_score	gene_strand	gene_id	insert_strand	insert_loci	insert_flank_bp
data	chr6,145824021,145824040	chr2,3502815,3512815	0	200	2	10	<<	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	0$200
data	chr6,145824021,145824040	chr2,3502815,3512815	0	200	2	10	<>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	0$200
data	chr6,145824021,145824040	chr2,3502815,3512815	0	200	2	10	><	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	0$200
data	chr6,145824021,145824040	chr2,3502815,3512815	0	200	2	20	>>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	0$200
data	chr6,145824021,145824040	chr2,3502815,3512815	0	200	2	20	<<	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	0$200
data	chr6,145824021,145824040	chr2,3502815,3512815	0	200	2	20	<>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	0$200
data	chr6,145824021,145824040	chr2,3502815,3512815	0	200	2	20	><	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	0$200
data	chr6,145824021,145824040	chr2,3502815,3512815	0	200	2	30	>>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	0$200
data	chr6,145824021,145824040	chr2,3502815,3512815	0	200	2	30	<<	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	0$200
data	chr6,145824021,145824040	chr2,3502815,3512815	0	200	2	30	<>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	0$200
data	chr6,145824021,145824040	chr2,3502815,3512815	0	200	2	30	><	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	0$200
data	chr6,145824021,145824040	chr2,3502815,3512815	5	0	2	0	>>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$0
data	chr6,145824021,145824040	chr2,3502815,3512815	5	0	2	0	<<	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$0
data	chr6,145824021,145824040	chr2,3502815,3512815	5	0	2	0	<>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$0
data	chr6,145824021,145824040	chr2,3502815,3512815	5	0	2	0	><	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$0
data	chr6,145824021,145824040	chr2,3502815,3512815	5	0	2	10	>>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$0
data	chr6,145824021,145824040	chr2,3502815,3512815	5	0	2	10	<<	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$0
data	chr6,145824021,145824040	chr2,3502815,3512815	5	0	2	10	<>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$0
data	chr6,145824021,145824040	chr2,3502815,3512815	5	0	2	10	><	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$0
data	chr6,145824021,145824040	chr2,3502815,3512815	5	0	2	20	>>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$0
data	chr6,145824021,145824040	chr2,3502815,3512815	5	0	2	20	<<	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$0
data	chr6,145824021,145824040	chr2,3502815,3512815	5	0	2	20	<>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$0
data	chr6,145824021,145824040	chr2,3502815,3512815	5	0	2	20	><	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$0
data	chr6,145824021,145824040	chr2,3502815,3512815	5	0	2	30	>>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$0
data	chr6,145824021,145824040	chr2,3502815,3512815	5	0	2	30	<<	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$0
data	chr6,145824021,145824040	chr2,3502815,3512815	5	0	2	30	<>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$0
data	chr6,145824021,145824040	chr2,3502815,3512815	5	0	2	30	><	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$0
data	chr6,145824021,145824040	chr2,3502815,3512815	5	100	2	0	>>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$100
data	chr6,145824021,145824040	chr2,3502815,3512815	5	100	2	0	<<	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$100
data	chr6,145824021,145824040	chr2,3502815,3512815	5	100	2	0	<>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$100
data	chr6,145824021,145824040	chr2,3502815,3512815	5	100	2	0	><	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$100
data	chr6,145824021,145824040	chr2,3502815,3512815	5	100	2	10	>>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$100
data	chr6,145824021,145824040	chr2,3502815,3512815	5	100	2	10	<<	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$100
data	chr6,145824021,145824040	chr2,3502815,3512815	5	100	2	10	<>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$100
data	chr6,145824021,145824040	chr2,3502815,3512815	5	100	2	10	><	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$100
data	chr6,145824021,145824040	chr2,3502815,3512815	5	100	2	20	>>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$100
data	chr6,145824021,145824040	chr2,3502815,3512815	5	100	2	20	<<	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$100
data	chr6,145824021,145824040	chr2,3502815,3512815	5	100	2	20	<>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$100
data	chr6,145824021,145824040	chr2,3502815,3512815	5	100	2	20	><	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$100
data	chr6,145824021,145824040	chr2,3502815,3512815	5	100	2	30	>>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$100
data	chr6,145824021,145824040	chr2,3502815,3512815	5	100	2	30	<<	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$100
data	chr6,145824021,145824040	chr2,3502815,3512815	5	100	2	30	<>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$100
data	chr6,145824021,145824040	chr2,3502815,3512815	5	100	2	30	><	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$100
data	chr6,145824021,145824040	chr2,3502815,3512815	5	200	2	0	>>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$200
data	chr6,145824021,145824040	chr2,3502815,3512815	5	200	2	0	<<	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$200
data	chr6,145824021,145824040	chr2,3502815,3512815	5	200	2	0	<>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$200
data	chr6,145824021,145824040	chr2,3502815,3512815	5	200	2	0	><	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$200
data	chr6,145824021,145824040	chr2,3502815,3512815	5	200	2	10	>>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$200
data	chr6,145824021,145824040	chr2,3502815,3512815	5	200	2	10	<<	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$200
data	chr6,145824021,145824040	chr2,3502815,3512815	5	200	2	10	<>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$200
data	chr6,145824021,145824040	chr2,3502815,3512815	5	200	2	10	><	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$200
data	chr6,145824021,145824040	chr2,3502815,3512815	5	200	2	20	>>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$200
data	chr6,145824021,145824040	chr2,3502815,3512815	5	200	2	20	<<	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$200
data	chr6,145824021,145824040	chr2,3502815,3512815	5	200	2	20	<>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$200
data	chr6,145824021,145824040	chr2,3502815,3512815	5	200	2	20	><	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$200
data	chr6,145824021,145824040	chr2,3502815,3512815	5	200	2	30	>>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$200
data	chr6,145824021,145824040	chr2,3502815,3512815	5	200	2	30	<<	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$200
data	chr6,145824021,145824040	chr2,3502815,3512815	5	200	2	30	<>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$200
data	chr6,145824021,145824040	chr2,3502815,3512815	5	200	2	30	><	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	5$200
data	chr6,145824021,145824040	chr2,3502815,3512815	10	0	2	0	>>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$0
data	chr6,145824021,145824040	chr2,3502815,3512815	10	0	2	0	<<	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$0
data	chr6,145824021,145824040	chr2,3502815,3512815	10	0	2	0	<>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$0
data	chr6,145824021,145824040	chr2,3502815,3512815	10	0	2	0	><	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$0
data	chr6,145824021,145824040	chr2,3502815,3512815	10	0	2	10	>>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$0
data	chr6,145824021,145824040	chr2,3502815,3512815	10	0	2	10	<<	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$0
data	chr6,145824021,145824040	chr2,3502815,3512815	10	0	2	10	<>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$0
data	chr6,145824021,145824040	chr2,3502815,3512815	10	0	2	10	><	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$0
data	chr6,145824021,145824040	chr2,3502815,3512815	10	0	2	20	>>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$0
data	chr6,145824021,145824040	chr2,3502815,3512815	10	0	2	20	<<	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$0
data	chr6,145824021,145824040	chr2,3502815,3512815	10	0	2	20	<>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$0
data	chr6,145824021,145824040	chr2,3502815,3512815	10	0	2	20	><	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$0
data	chr6,145824021,145824040	chr2,3502815,3512815	10	0	2	30	>>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$0
data	chr6,145824021,145824040	chr2,3502815,3512815	10	0	2	30	<<	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$0
data	chr6,145824021,145824040	chr2,3502815,3512815	10	0	2	30	<>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$0
data	chr6,145824021,145824040	chr2,3502815,3512815	10	0	2	30	><	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$0
data	chr6,145824021,145824040	chr2,3502815,3512815	10	100	2	0	>>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$100
data	chr6,145824021,145824040	chr2,3502815,3512815	10	100	2	0	<<	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$100
data	chr6,145824021,145824040	chr2,3502815,3512815	10	100	2	0	<>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$100
data	chr6,145824021,145824040	chr2,3502815,3512815	10	100	2	0	><	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$100
data	chr6,145824021,145824040	chr2,3502815,3512815	10	100	2	10	>>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$100
data	chr6,145824021,145824040	chr2,3502815,3512815	10	100	2	10	<<	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$100
data	chr6,145824021,145824040	chr2,3502815,3512815	10	100	2	10	<>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$100
data	chr6,145824021,145824040	chr2,3502815,3512815	10	100	2	10	><	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$100
data	chr6,145824021,145824040	chr2,3502815,3512815	10	100	2	20	>>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$100
data	chr6,145824021,145824040	chr2,3502815,3512815	10	100	2	20	<<	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$100
data	chr6,145824021,145824040	chr2,3502815,3512815	10	100	2	20	<>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$100
data	chr6,145824021,145824040	chr2,3502815,3512815	10	100	2	20	><	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$100
data	chr6,145824021,145824040	chr2,3502815,3512815	10	100	2	30	>>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$100
data	chr6,145824021,145824040	chr2,3502815,3512815	10	100	2	30	<<	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$100
data	chr6,145824021,145824040	chr2,3502815,3512815	10	100	2	30	<>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$100
data	chr6,145824021,145824040	chr2,3502815,3512815	10	100	2	30	><	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$100
data	chr6,145824021,145824040	chr2,3502815,3512815	10	200	2	0	>>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$200
data	chr6,145824021,145824040	chr2,3502815,3512815	10	200	2	0	<<	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$200
data	chr6,145824021,145824040	chr2,3502815,3512815	10	200	2	0	<>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$200
data	chr6,145824021,145824040	chr2,3502815,3512815	10	200	2	0	><	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$200
data	chr6,145824021,145824040	chr2,3502815,3512815	10	200	2	10	>>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$200
data	chr6,145824021,145824040	chr2,3502815,3512815	10	200	2	10	<<	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$200
data	chr6,145824021,145824040	chr2,3502815,3512815	10	200	2	10	<>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$200
data	chr6,145824021,145824040	chr2,3502815,3512815	10	200	2	10	><	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$200
data	chr6,145824021,145824040	chr2,3502815,3512815	10	200	2	20	>>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$200
data	chr6,145824021,145824040	chr2,3502815,3512815	10	200	2	20	<<	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$200
data	chr6,145824021,145824040	chr2,3502815,3512815	10	200	2	20	<>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$200
data	chr6,145824021,145824040	chr2,3502815,3512815	10	200	2	20	><	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$200
data	chr6,145824021,145824040	chr2,3502815,3512815	10	200	2	30	>>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$200
data	chr6,145824021,145824040	chr2,3502815,3512815	10	200	2	30	<<	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$200
data	chr6,145824021,145824040	chr2,3502815,3512815	10	200	2	30	<>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$200
data	chr6,145824021,145824040	chr2,3502815,3512815	10	200	2	30	><	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	10$200
data	chr6,145824021,145824040	chr2,3502815,3512815	15	0	2	0	>>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	15$0
data	chr6,145824021,145824040	chr2,3502815,3512815	15	0	2	0	<<	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	15$0
data	chr6,145824021,145824040	chr2,3502815,3512815	15	0	2	0	<>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	15$0
data	chr6,145824021,145824040	chr2,3502815,3512815	15	0	2	0	><	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	15$0
data	chr6,145824021,145824040	chr2,3502815,3512815	15	0	2	10	>>	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	15$0
data	chr6,145824021,145824040	chr2,3502815,3512815	15	0	2	10	<<	-	11.96875	-	ENSMUSG00000109865.1	-$-	chr6,145824021,145824040$chr2,3502815,3512815	15$0
