# GimmeMotifs version 0.17.1
# Input: gimme.test/generated_background.gc.fa
# Motifs: gimme.test/combined.pfm
# Scoring: GC frequency normalized z-score
	GimmeMotifs_1	GimmeMotifs_2
chr13:81821500-81821700	0.739728	0.670448
chr3:94926700-94926900	0.739728	1.758275
chr1:62576900-62577100	-0.458295	0.431801
chr21:28278300-28278500	-0.296807	1.370161
chr11:25215700-25215900	-0.619784	-0.595294
chr6:153951500-153951700	-0.458295	1.400404
chrX:50226900-50227100	0.901216	-0.383651
chr7:37192800-37193000	-0.458295	-0.063525
chrX:3291600-3291800	0.739728	-0.500248
chr9:31424800-31425000	-0.458295	0.808908
chr2:170432400-170432600	-0.619784	1.533435
chrX:98805800-98806000	-0.296807	-0.276588
chr12:72532700-72532900	-1.656318	-0.642742
chr14:29510200-29510400	-0.458295	1.381694
chr10:19237500-19237700	0.739728	0.086252
chr11:37937700-37937900	-0.619784	0.002991
chr12:22795200-22795400	0.739728	-0.417994
chrX:155370900-155371100	-0.619784	0.437053
chr12:95741300-95741500	-0.619784	0.923705
chr7:9332400-9332600	-0.458295	0.290742
chr8:133540700-133540900	-0.619784	-0.414028
chr4:180305800-180306000	-0.619784	2.305921
chr14:97596700-97596900	-0.458295	-0.344535
chr2:223574000-223574200	-0.619784	0.163784
chr11:90852800-90853000	0.739728	0.273925
chr14:89843200-89843400	-0.296807	1.802104
chrX:155469000-155469200	-0.619784	1.167117
chr4:26526700-26526900	-0.619784	-0.314933
chr3:634900-635100	-0.458295	0.024274
chrX:103333400-103333600	-0.458295	-0.104422
chr6:139233300-139233500	0.739728	-0.461967
chr7:53630000-53630200	-0.458295	0.794791
chr1:178162400-178162600	-0.619784	-1.612375
chr4:115557400-115557600	0.739728	0.448597
chr5:113710800-113711000	0.901216	1.431628
chrX:105492400-105492600	-0.458295	-0.495208
chr5:23569700-23569900	0.739728	-0.416228
chr10:56729900-56730100	0.901216	2.444704
chr3:22095700-22095900	0.901216	-0.461967
chr1:157385500-157385700	0.739728	0.066531
chr5:85910600-85910800	0.901216	0.307151
chr12:86138500-86138700	-1.817807	-0.882714
chr4:160610600-160610800	0.901216	0.440467
chr2:132150200-132150400	-0.296807	0.561022
chr5:10346100-10346300	-0.619784	-2.388987
chr3:96240000-96240200	-0.619784	-0.682373
chr11:49459800-49460000	-0.458295	-0.435078
chr8:15935000-15935200	-0.458295	-0.290464
chr5:18899000-18899200	0.901216	0.345343
chr9:70723100-70723300	-0.619784	-0.060169
chr2:228104300-228104500	-0.458295	0.023364
chr8:24471100-24471300	-0.458295	-0.083795
chr4:14931900-14932100	-0.619784	0.675582
chrX:116557000-116557200	-0.458295	0.096711
chr4:149047200-149047400	0.739728	0.934672
chr11:62362500-62362700	-1.817807	-1.536510
chr15:73927400-73927600	0.659983	1.888125
chr19:20529700-20529900	-1.611711	-1.236473
chr5:176962300-176962500	0.390141	-0.466230
chrX:153334100-153334300	0.390141	-0.538970
chr1:222488600-222488800	0.390141	-0.466230
chr2:47433000-47433200	-0.610785	1.005437
chr16:3004400-3004600	-0.206022	-0.546051
chr1:32500600-32500800	0.794904	0.273129
chr12:120265600-120265800	1.930752	-2.043759
chr11:107018200-107018400	-0.340943	-1.021315
chr21:8216900-8217100	0.794904	1.367103
chr2:32868900-32869100	0.390141	-0.466230
chr15:74729100-74729300	0.390141	-0.318183
chrX:1366700-1366900	-2.477716	-0.609201
chr17:62966300-62966500	0.659983	-0.616556
chr22:28884000-28884200	0.390141	-0.626851
chr5:6448600-6448800	0.794904	0.284831
chr9:111661700-111661900	0.794904	-0.195426
chr16:88453500-88453700	0.794904	0.843899
chr17:74454000-74454200	-1.294407	0.181982
chr16:88941400-88941600	0.255220	0.376397
chr4:155667700-155667900	-0.340943	0.736496
chr21:8215000-8215200	-0.475864	0.370038
chr15:30991700-30991900	2.017672	0.209938
chr11:45180600-45180800	0.794904	-1.258584
chr16:58000600-58000800	-0.475864	-1.521568
chr4:186191600-186191800	-1.157859	0.157467
chr8:143597800-143598000	-1.476790	-0.542945
chr11:72223800-72224000	2.661836	0.819993
chr19:35269200-35269400	-0.475864	1.058668
chr19:9483500-9483700	-1.341869	-1.236473
chr1:28669000-28669200	-0.340943	-0.044508
chr16:88383100-88383300	-1.341869	-0.844125
chr16:381600-381800	-1.021312	-0.111483
chr22_KI270733v1_random:177400-177600	0.525062	-0.395177
chr17:81648100-81648300	-0.475864	-0.669780
chr15:68859700-68859900	-0.417961	-0.875135
chr19:47573100-47573300	-1.476790	-1.284410
chr6:34237200-34237400	0.929825	0.151954
chr20:3732600-3732800	-0.475864	0.280938
chr3:42013700-42013900	-0.475864	3.000433
chr4:159102800-159103000	0.525062	-1.000978
chr1:61050600-61050800	0.659983	0.999321
chr15:90871400-90871600	1.525989	0.526704
chr17:64661800-64662000	0.794904	-0.338147
chr8:116679800-116680000	-0.340943	-0.466230
chr9:125780600-125780800	-1.476790	-1.145768
chr18:8609500-8609700	-0.475864	-1.311342
chr6:34235400-34235600	-0.071101	-1.192709
chr2:201282800-201283000	0.390141	-0.466230
chr2:6116000-6116200	-1.607915	-0.865613
chr2:124473000-124473200	1.140719	0.000945
chr12:18064200-18064400	-1.607915	-1.105611
chr5:28641000-28641200	-0.396845	2.389167
chr7:140858700-140858900	-0.233598	-0.620499
chr11:101902400-101902600	-0.070350	-0.092773
chr13:55099400-55099600	-0.070350	0.893573
chr2:147191600-147191800	1.140719	0.199961
chr21:10141000-10141200	-1.607915	-0.278221
chr4:150486400-150486600	-0.396845	-0.245759
chr13:104325300-104325500	2.351789	-0.844442
chr13:59122000-59122200	-0.233598	-0.053459
chr6:117255300-117255500	0.977472	-1.228144
chr3:55740200-55740400	0.977472	1.325714
chr9:25277000-25277200	-0.233598	0.142991
chr4:70989400-70989600	-1.607915	0.796948
chrX:82847300-82847500	-1.444667	-0.235031
chr5:63606300-63606500	-0.396845	-0.913424
chr21:16980700-16980900	-1.444667	-1.334920
chr2:129126600-129126800	-0.070350	0.792524
chr21:21500500-21500700	-0.233598	-1.090986
chr13:104538500-104538700	-1.444667	0.457019
chr1:77157500-77157700	-1.281420	0.427420
chr8:97004500-97004700	-1.444667	-0.681531
chr4:178323500-178323700	0.977472	-0.256005
chr2:187634300-187634500	-0.396845	0.910887
chr15:95836000-95836200	-0.233598	-0.586528
chr2:188358900-188359100	-0.396845	-0.020424
chr1:194191800-194192000	-1.607915	-0.533362
chr7:118201500-118201700	-1.607915	-1.685334
chr2:210833200-210833400	-0.070350	-1.249131
chr18:12563800-12564000	0.977472	2.329753
chr21:13213600-13213800	-0.233598	1.452655
chr13:97252600-97252800	-0.396845	-0.683622
chr18:67397700-67397900	-0.233598	0.258845
chrX:124645600-124645800	2.515036	0.044633
chr3:142467700-142467900	-0.233598	-1.538786
chr8:13908200-13908400	-1.444667	-1.385778
chr4:68767700-68767900	-0.396845	-0.354027
chr6:26839600-26839800	-0.396845	-0.245759
chr6:49209800-49210000	-0.233598	1.397739
chr22:15581200-15581400	-1.444667	-0.905341
chr5:74696600-74696800	-1.444667	-1.608356
chr11:31683600-31683800	-0.233598	-1.531728
chr8:114545300-114545500	-0.233598	1.758541
chr2:194377800-194378000	1.140719	0.393827
chr4:111577100-111577300	-1.444667	0.729861
chr5:18821500-18821700	-1.444667	-1.256458
chr8:110446600-110446800	-1.771162	-0.028675
chr1:51416800-51417000	0.739728	0.422288
chr6:101616900-101617100	-0.233598	-0.765075
chr6:50982400-50982600	-0.396845	-0.959047
chr3:154816100-154816300	-0.458295	1.685771
chr17:52152500-52152700	-0.233598	1.894704
chr4:166401000-166401200	-0.396845	-0.524284
chr3:152704800-152705000	0.977472	-1.237350
chr4:112966500-112966700	-1.607915	1.452645
chr3:166609400-166609600	-0.070350	0.676914
chr1:166462000-166462200	0.977472	0.782620
chrUn_GL000213v1:119700-119900	-0.233598	1.777841
chr1:80421300-80421500	2.351789	1.385965
chr12:23718000-23718200	-0.396845	0.336300
chr3:141014100-141014300	-0.070350	-1.016675
chr14:50665800-50666000	0.977472	-1.013498
chr3:85217100-85217300	0.977472	-0.090876
chr6:122208500-122208700	1.140719	1.199757
chr8:113356800-113357000	-0.233598	0.003157
chr3:147543300-147543500	-0.396845	1.037650
chr4:171485800-171486000	-0.396845	-1.137497
chr12:39714000-39714200	-0.070350	-1.592614
chr12:55369300-55369500	0.739728	1.551994
chr17:22176500-22176700	-1.444667	-0.752236
chr13:87866900-87867100	0.977472	-0.297782
chrX:54232600-54232800	1.140719	1.852457
chr5:36685100-36685300	-0.233598	-0.174482
chr3:166567700-166567900	0.977472	0.582834
chr5:107041900-107042100	-1.607915	0.218041
chr17:70866900-70867100	-0.396845	-2.196171
chr3:171647300-171647500	-0.396845	-0.076180
chrX:111654700-111654900	-1.607915	1.898168
chr5:141402100-141402300	-0.396845	0.238889
chr18:67355200-67355400	-1.607915	-0.174583
chr20:42692700-42692900	2.515036	-1.059946
chr4:85867700-85867900	-0.233598	-0.414598
chr2:123354700-123354900	-1.444667	-0.348187
chr5:28568700-28568900	-1.444667	-1.142572
chr15:48124300-48124500	1.140719	1.191401
chr4:85646500-85646700	-0.070350	-0.991980
chr5:102874400-102874600	0.092897	0.036888
chr4:64248700-64248900	0.977472	-0.693054
chr4:169769000-169769200	-1.607915	-0.422487
chr14:87210600-87210800	-0.233598	-0.410215
chr3:167825400-167825600	-0.233598	1.312261
chr8:78269200-78269400	-0.233598	1.249703
chr3:152180500-152180700	0.977472	-1.179172
chr11:132574000-132574200	-1.444667	0.197489
chr8:107994200-107994400	-1.444667	1.515958
chr6:141256900-141257100	-0.070350	-0.521325
chr4:13319100-13319300	-1.607915	0.636468
chr6:101381500-101381700	-0.070350	-0.313545
chr1:221666100-221666300	-1.061789	1.479154
chr8:94157200-94157400	-1.061789	1.054702
chr3:80567900-80568100	-0.001583	0.709792
chr20:21837300-21837500	0.163594	0.326380
chr2:179479200-179479400	0.163594	0.189324
chr5:36342300-36342500	0.163594	-0.325972
chr7:35208200-35208400	-1.061789	0.111206
chr4:164441800-164442000	0.328771	-0.813462
chr4:160107300-160107500	0.493948	-1.216582
chr12:109077300-109077500	0.163594	-0.215132
chr12:39964900-39965100	-1.226966	-0.546618
chr21:17543000-17543200	1.388978	-0.927624
chr3:84052300-84052500	2.779538	-0.285464
chr8:65056400-65056600	0.328771	-0.490503
chr5:23373800-23374000	0.163594	-0.351245
chr12:116214500-116214700	1.388978	-1.140473
chr4:154066000-154066200	0.163594	2.171603
chr2:66811400-66811600	-0.001583	1.853837
chr10:51488300-51488500	-0.001583	-0.242267
chr2:6359600-6359800	1.388978	0.805451
chr11:89695400-89695600	0.328771	-0.942448
chrX:86793200-86793400	-1.226966	0.078481
chr11:41711300-41711500	-0.001583	-0.602182
chr4:166492200-166492400	-1.061789	-2.181575
chr2:83441800-83442000	0.328771	0.288803
chr6:93319000-93319200	-1.226966	-0.203836
chr3:56492900-56493100	1.388978	0.983437
chr12:72601800-72602000	-0.001583	0.129676
chr13:60840900-60841100	-1.061789	-0.145814
chr2:224376500-224376700	-1.061789	0.908732
chr6:67377000-67377200	-1.226966	-1.440880
chr11:84988900-84989100	-1.226966	1.009756
chr4:129553500-129553700	-1.226966	-1.493636
chr3:140791100-140791300	0.163594	-0.179025
chr4:65703900-65704100	-0.001583	-0.464363
chr7:110403800-110404000	0.163594	-0.749193
chr8:87469800-87470000	0.328771	1.750748
chr3:57678100-57678300	-1.392143	-0.608947
chr20:16731600-16731800	0.328771	0.675600
chr5:8352800-8353000	0.328771	-0.294941
chr3:112408800-112409000	0.328771	0.436430
chr2:127768900-127769100	0.163594	-0.174645
chr12:49448700-49448900	0.328771	-0.096757
chr8:51827100-51827300	-0.896612	0.617513
chr20:7519300-7519500	-1.061789	0.311092
chr7:119112000-119112200	0.328771	-1.039867
chr12:46527800-46528000	0.163594	-0.303486
chrX:107127500-107127700	0.328771	1.440754
chr21:36627900-36628100	-0.001583	0.777087
chr3:152822300-152822500	-0.001583	0.765565
chr9:23031000-23031200	1.554155	-0.166571
chr18:45805800-45806000	1.719332	-0.129605
chr3:21370300-21370500	-0.001583	-0.382152
chr18:65158400-65158600	-1.226966	1.744862
chr11:43382300-43382500	0.163594	0.458477
chr7:25676600-25676800	-1.226966	-0.758495
chr3:170906200-170906400	-1.226966	0.030960
chrX:32719900-32720100	-1.061789	1.318656
chr2:50639700-50639900	2.779538	-0.316955
chr2:81472200-81472400	-1.061789	0.407082
chrX:78914700-78914900	-1.061789	-0.082730
chr22:28638400-28638600	-0.001583	1.748571
chr13:57807400-57807600	0.163594	0.603339
chr5:142165100-142165300	-0.896612	-0.783206
chrX:53912500-53912700	1.554155	-0.616337
chr10:132831800-132832000	1.554155	0.947631
chr13:47230400-47230600	1.554155	1.022185
chr16:80239400-80239600	0.977472	-0.110096
chr2:64137100-64137300	-1.061789	-0.652929
chr6:140755100-140755300	-1.226966	2.229961
chr9:61824700-61824900	1.388978	1.829931
chr4:85201000-85201200	1.388978	-0.464347
chr1:104993200-104993400	1.554155	-1.209291
chr8:39130500-39130700	-1.061789	-0.059820
chr3:167229800-167230000	-0.001583	1.031563
chr7:85999800-86000000	0.328771	0.291735
chr5:45881100-45881300	0.163594	-1.305676
chr1:61092900-61093100	1.719332	-0.327421
chr3:995300-995500	0.163594	-0.021084
chr6:113326200-113326400	1.554155	-0.095644
chr16:55220300-55220500	1.388978	-1.747630
chr5:159477800-159478000	1.388978	-0.502858
chrX:125829500-125829700	0.163594	0.445293
chr4:153595700-153595900	1.554155	0.354508
chr20:7020600-7020800	0.163594	0.554630
chr21:15994500-15994700	0.163594	0.618942
chr9:102584400-102584600	0.163594	0.487858
chr13:36931800-36932000	-1.226966	-2.102043
chr15:92193900-92194100	0.328771	0.489390
chr21:9945800-9946000	0.328771	1.580872
chr17:67195500-67195700	-0.001583	-0.559592
chr10:96594300-96594500	1.554155	-1.377901
chr6:36180600-36180800	0.163594	-0.998280
chr3:149277900-149278100	-1.061789	-1.304029
chr1:243613000-243613200	1.388978	0.035537
chr4:41522500-41522700	0.493948	-0.243437
chr7:17857000-17857200	-1.061789	-0.224612
chr2:9411000-9411200	0.163594	1.253956
chr9:84470700-84470900	0.493948	2.139964
chr18:29373900-29374100	0.328771	0.679343
chr5:62351300-62351500	-0.001583	-0.338218
chr4:97502600-97502800	-1.061789	0.087503
chr13:80003100-80003300	-0.001583	0.761140
chr17:53577400-53577600	-1.061789	-0.501092
chr9:10642200-10642400	-1.061789	-0.718049
chr12:78424100-78424300	-0.001583	1.345981
chr5:77808000-77808200	0.163594	-0.298972
chr2:196790900-196791100	0.493948	2.561761
chr6:120917700-120917900	1.554155	-0.389758
chr20:50928300-50928500	0.163594	-0.916489
chr3:163211700-163211900	-1.061789	0.878684
chr5:22152200-22152400	-0.001583	1.647771
chr6:46702300-46702500	1.554155	-0.077276
chr4:97497000-97497200	0.163594	-0.947108
chr1:200402200-200402400	-0.001583	-1.775550
chr7:119684900-119685100	0.328771	1.346527
chr6:65122500-65122700	0.328771	2.028464
chr7:34009200-34009400	2.779538	-0.385029
chr18:11222200-11222400	0.163594	0.659172
chr7:128442000-128442200	-1.061789	-0.394491
chr11:84620600-84620800	-0.001583	-0.762787
chrX:132026600-132026800	0.163594	-0.734857
chr6:61126100-61126300	-1.061789	0.565119
chr5:128881400-128881600	-1.226966	-0.685407
chrX:7886000-7886200	-0.001583	0.463756
chr12:62527500-62527700	0.163594	1.835818
chr4:19777500-19777700	1.388978	-0.134044
chr9:105718600-105718800	0.163594	0.368259
chr1:105281100-105281300	-1.061789	-0.611310
chr7:111494900-111495100	-1.061789	-0.280575
chr6:163429400-163429600	1.388978	-0.533721
chr6:49791000-49791200	1.554155	1.098814
chr9:16465600-16465800	-0.896612	0.150164
chr3:12061400-12061600	-1.061789	0.495536
chr7:78452900-78453100	-0.896612	-1.325882
chr3:123751300-123751500	0.493948	0.161125
chr6:73934600-73934800	0.328771	-0.303486
chr13:76539400-76539600	0.163594	-1.535681
chr2:142173300-142173500	0.328771	-0.052122
chr1:91840300-91840500	-2.287173	-0.468648
chr2:44512600-44512800	0.163594	-0.511853
chr5:9459800-9460000	1.388978	-1.646082
chr2:27966200-27966400	-1.226966	-0.059820
chr12:106946600-106946800	-0.001583	1.021016
chr14:85456400-85456600	-2.617526	-0.319277
chr4:14534200-14534400	-0.896612	0.928016
chr2:183249200-183249400	0.163594	0.811770
chr14:28182400-28182600	-1.226966	0.634422
chr5:79601600-79601800	-1.226966	0.035537
chr21:18738900-18739100	1.554155	1.317359
chr7:15624700-15624900	2.944715	0.459313
chr1:50327900-50328100	-1.226966	0.507291
chr7:17868100-17868300	0.328771	1.293230
chr16:48808700-48808900	-0.001583	-0.183469
chr1:216379900-216380100	0.163594	0.024020
chr3:79641200-79641400	-1.061789	0.267037
chr4:149704100-149704300	0.163594	-0.892542
chrX:82637800-82638000	0.163594	-0.338218
chr3:23504700-23504900	-1.061789	-0.489735
chr6:152456800-152457000	-1.061789	0.962601
chr13:82002400-82002600	-1.061789	1.850967
chr12:69787200-69787400	-1.061789	-0.104086
chr8:31725900-31726100	0.328771	-0.420955
chr3:1098400-1098600	0.163594	1.278592
chr5:25524400-25524600	2.779538	0.540872
chr17:59998800-59999000	0.328771	-1.459969
chrX:50111600-50111800	-1.061789	0.940425
chr1:217534400-217534600	-0.896612	-1.011464
chr8:75848100-75848300	0.163594	1.020931
chr6:67815300-67815500	-0.001583	0.193899
chrX:97394000-97394200	-1.226966	-0.045852
chr8:26808300-26808500	-1.226966	0.841239
chr14:53828400-53828600	0.328771	0.535094
chr8:132256900-132257100	1.388978	0.101668
chr6:77329900-77330100	0.977472	0.381757
chr13:101465200-101465400	-1.226966	-0.468170
chr7:109252800-109253000	0.328771	0.806380
chr6:129185300-129185500	0.328771	2.838073
chr8:88726500-88726700	0.163594	-0.146167
chr6:164761200-164761400	-1.226966	-0.741847
chr12:70314000-70314200	-1.061789	-1.074440
chr1:5589400-5589600	0.328771	0.283397
chr12:42345800-42346000	-0.233598	-0.730861
chr1:48217600-48217800	0.163594	1.585316
chr6:121478700-121478900	0.328771	-0.651514
chr11:24244900-24245100	1.388978	-0.407862
chr13:68955100-68955300	-0.001583	-1.384433
chr2:40250300-40250500	-1.226966	-0.275850
chr3:139200700-139200900	-1.061789	3.148067
chr4:3794200-3794400	-0.001583	1.214282
chr4:175765500-175765700	0.163594	0.765565
chr3:86952600-86952800	-0.001583	-0.611815
chrX:47533000-47533200	-0.001583	1.895290
chr10:83284500-83284700	0.328771	1.736150
chrX:36911300-36911500	-1.392143	-1.239961
chr5:111844200-111844400	-1.444667	-0.949023
chr9:39885600-39885800	-1.226966	-0.051343
chr6:47625800-47626000	-0.001583	0.055656
